dataset,seed_hex,digits_sha256,n,N,energy,R_numerator,R_denominator,R_decimal,iid_model_energy_numerator,iid_model_energy_denominator,energy_over_iid_model_numerator,energy_over_iid_model_denominator,energy_over_iid_model_decimal,iid_model_R_numerator,iid_model_R_denominator,iid_model_R_decimal
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,1,1000,100832,31250,3151,9.9174865122,100900,1,25208,25225,0.99932606541,10000,1009,9.9108027750
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,1,10000,10010458,50000000,5005229,9.9895529256,10009000,1,5005229,5004500,1.0001456689,100000,10009,9.9910080927
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,1,100000,1000056480,62500000,6250353,9.9994352319,1000090000,1,12500706,12501125,0.99996648302,1000000,100009,9.9991000810
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,1,1000000,100000332706,500000000000,50000166353,9.9999667295,100000900000,1,50000166353,50000450000,0.99999432711,10000000,1000009,9.9999100008
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,2,1000,10998,250000,5499,45.462811420,10990,1,5499,5495,1.0007279345,50000,1099,45.495905368
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,2,10000,1009854,25000000,504927,49.512107691,1009900,1,504927,504950,0.99995445094,500000,10099,49.509852461
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,2,100000,100086556,1250000000,25021639,49.956759427,100099000,1,25021639,25024750,0.99987568307,5000000,100099,49.950548956
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,2,1000000,10000861200,1250000000,25002153,49.995694371,10000990000,1,25002153,25002475,0.99998712128,50000000,1000099,49.995050490
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,3,1000,1960,25000,147,170.06802721,1999,1,1960,1999,0.98049024512,1000000,5997,166.75004169
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,3,10000,110476,25000000,82857,301.72465815,109990,1,55238,54995,1.0044185835,10000000,32997,303.05785374
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,3,100000,10101806,5000000000,15152709,329.97400003,10099900,1,5050903,5049950,1.0001887147,100000000,302997,330.03627099
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,3,1000000,1001029706,500000000000,1501544559,332.99045107,1000999000,1,500514853,500499500,1.0000306754,1000000000,3002997,333.00066567
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,4,1000,1084,62500,271,230.62730627,10999,10,10840,10999,0.98554414038,2500000,10999,227.29339031
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,4,10000,20016,1562500,1251,1249.0007994,19999,1,20016,19999,1.0008500425,25000000,19999,1250.0625031
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,4,100000,1100420,125000000,55021,2271.8598353,1099990,1,110042,109999,1.0003909126,250000000,109999,2272.7479341
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,4,1000000,101004726,125000000000,50502363,2475.1317082,100999900,1,50502363,50499950,1.0000477822,2500000000,1009999,2475.2499755
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,5,1000,1010,20000,101,198.01980198,100999,100,101000,100999,1.0000099011,20000000,100999,198.02176259
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,5,10000,11030,2000000,1103,1813.2366274,109999,10,110300,109999,1.0027363885,200000000,109999,1818.1983473
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,5,100000,200142,1000000000,100071,9992.9050374,199999,1,200142,199999,1.0007150036,2000000000,199999,10000.050000
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,5,1000000,11005254,100000000000,5502627,18173.138030,10999990,1,5502627,5499995,1.0004785459,20000000000,1099999,18181.834711
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,6,1000,1000,500,3,166.66666667,1000999,1000,1000000,1000999,0.99900199700,500000000,3002997,166.50033283
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,6,10000,10104,6250000,3789,1649.5117445,1009999,100,1010400,1009999,1.0003970301,5000000000,3029997,1650.1666503
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,6,100000,109990,500000000,32997,15152.892687,1099999,10,1099900,1099999,0.99990999992,50000000000,3299997,15151.528926
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,6,1000000,2000914,250000000000,3001371,83295.267396,1999999,1,2000914,1999999,1.0004575002,500000000000,5999997,83333.375000
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,7,1000,1000,1000,7,142.85714286,10000999,10000,10000000,10000999,0.99990010998,10000000000,70006993,142.84287285
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,7,10000,10010,10000000,7007,1427.1442843,10009999,1000,10010000,10009999,1.0000000999,100000000000,70069993,1427.1444269
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,7,100000,100968,1250000000,88347,14148.754344,10099999,100,1442400,1442857,0.99968326730,1000000000000,70699993,14144.272970
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,7,1000000,1100114,500000000000,3850399,129856.67200,10999999,10,11001140,10999999,1.0001037273,10000000000000,76999993,129870.14168
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,8,1000,1000,125,1,125,100000999,100000,100000000,100000999,0.99999001010,12500000000,100000999,124.99875126
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,8,10000,10000,1250,1,1250,100009999,10000,100000000,100009999,0.99990002000,125000000000,100009999,1249.8750250
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,8,100000,100072,156250000,12509,12491.006475,100099999,1000,100072000,100099999,0.99972028971,1250000000000,100099999,12487.512612
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,8,1000000,1009972,31250000000,252493,123765.80737,100999999,100,100997200,100999999,0.99997228713,12500000000000,100999999,123762.37746
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,9,1000,1000,1000,9,111.11111111,1000000999,1000000,1000000000,1000000999,0.99999900100,1000000000000,9000008991,111.11100011
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,9,10000,10000,10000,9,1111.1111111,1000009999,100000,1000000000,1000009999,0.99999000110,10000000000000,9000089991,1111.1000012
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,9,100000,100006,5000000000,450027,11110.444484,1000099999,10000,1000060000,1000099999,0.99996000500,100000000000000,9000899991,11110.000122
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,9,1000000,1000910,100000000000,900819,111010.09193,1000999999,1000,1000910000,1000999999,0.99991009091,1000000000000000,9008999991,111000.11111
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,10,1000,1000,100,1,100,10000000999,10000000,10000000000,10000000999,0.99999990010,1000000000000,10000000999,99.999990010
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,10,10000,10000,1000,1,1000,10000009999,1000000,10000000000,10000009999,0.99999900010,10000000000000,10000009999,999.99900010
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,10,100000,100000,10000,1,10000,10000099999,100000,10000000000,10000099999,0.99999000020,100000000000000,10000099999,9999.9000020
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,10,1000000,1000078,50000000000,500039,99992.200608,10000999999,10000,10000780000,10000999999,0.99997800230,1000000000000000,10000999999,99990.001010
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,11,1000,1000,1000,11,90.909090909,100000000999,100000000,100000000000,100000000999,0.99999999001,100000000000000,1100000010989,90.909090001
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,11,10000,10000,10000,11,909.09090909,100000009999,10000000,100000000000,100000009999,0.99999990001,1000000000000000,1100000109989,909.09081819
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,11,100000,100000,100000,11,9090.9090909,100000099999,1000000,100000000000,100000099999,0.99999900001,10000000000000000,1100001099989,9090.9000001
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,11,1000000,1000006,500000000000,5500033,90908.545458,100000999999,100000,100000600000,100000999999,0.99999600005,100000000000000000,1100010999989,90908.181828
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,12,1000,1000,250,3,83.333333333,1000000000999,1000000000,1000000000000,1000000000999,0.99999999900,250000000000000,3000000002997,83.333333250
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,12,10000,10000,2500,3,833.33333333,1000000009999,100000000,1000000000000,1000000009999,0.99999999000,2500000000000000,3000000029997,833.33332500
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,12,100000,100000,25000,3,8333.3333333,1000000099999,10000000,1000000000000,1000000099999,0.99999990000,25000000000000000,3000000299997,8333.3325000
control_3,0x0000000078c3688b,3fb393addb541c208f64c61970f8ccd887fc5add8dc476eb352ce3c6e4c353b3,12,1000000,1000000,250000,3,83333.333333,1000000999999,1000000,1000000000000,1000000999999,0.99999900000,250000000000000000,3000002999997,83333.250000
