order,mode,cells,zero_prefix_starts,samples,support,exceptional_mass,entropy_deficit,deficit_per_digit,convexity_upper_bound,normalized_l2_energy,old_collision_ratio,zero_word_mass
2,sqrt,100,70,171,100,0.4152046783625731,1.2642081532816656,0.6321040766408328,1.9120882058780966,18.067097568482605,11.400271897455815,0.42105263157894735
2,k,100,50,151,100,0.33774834437086093,0.9485835502740567,0.47429177513702836,1.5553886058635278,12.293320468400507,7.395583229993931,0.3443708609271523
3,sqrt,1000,577,1579,1000,0.36668777707409755,1.880482678946552,0.6268275596488507,2.532989427821822,135.32546592968754,82.85339693795139,0.36732108929702345
3,k,1000,333,1335,1000,0.250936329588015,1.1751506180711102,0.3917168726903701,1.7334067554000119,63.906072465597774,36.53730481437817,0.251685393258427
4,sqrt,10000,5000,15003,10000,0.33346664000533227,2.435369127007503,0.6088422817518757,3.0713412571483603,1112.8887999644624,667.7866922316053,0.33353329334133175
4,k,10000,2500,12503,10000,0.20019195393105654,1.3438734885568344,0.3359683721392086,1.8438360354360064,401.72810736892393,223.20608480796588,0.20027193473566343
5,sqrt,100000,44721,144725,100000,0.3090343755398169,2.9396447632107634,0.5879289526421527,3.5578897317035305,9551.129024283193,5648.32831970328,0.3090412851960615
5,k,100000,20000,120004,100000,0.16669444351854937,1.4686256536887559,0.2937251307377512,1.9191407036537484,2779.6759629583853,1516.2098609973366,0.1667027765741142
