word,length,q,rho_ratio_lower,rho_ratio_upper,delta_lower_nats,delta_upper_nats,states,reachable
084,3,16,822830909051486329297283459705/822002565723461085582569889486,555329556845334341796922490233/554770506950381684285139424095,0.001007206395973513,0.001007206395975672,144,61
085,3,9,5935855474800847870170039646870/5929884343342325501972036120241,1123734876258215840331962849458/1122604463178051399289312959825,0.001006449164412890,0.001006449164415354,81,44
085,3,11,1316144866109433068993450572405/1314820644532751135756414046474,8879738288316271473212291513329/8870804058248222239521490383576,0.001006643137774572,0.001006643137776836,99,53
085,3,16,51273964295243280334424906065/51222286894796243376856702881,1792129852089029831600614833079/1790323621318838573516170787688,0.001008376486474987,0.001008376486477847,144,61
086,3,9,1317971025154509195153582658570/1316645236519592242560976463121,444379030831115388843258378943/443932015944271567192877719048,0.001006437837732020,0.001006437837734714,81,44
086,3,11,9878845507117981257433330751830/9868906038677638026631638801033,2022544731165035999772783098543/2020509774801950825380758999516,0.001006643136726098,0.001006643136728492,99,53
086,3,16,9774685496291482144090968096220/9764849929720666958239287457143,385090999070000712494128379339/384703509553471481403443273856,0.001006735031010993,0.001006735031013268,144,61
087,3,9,9888882802094689957286072126875/9879035336216969907203981196534,673268634117888650407923380615/672598185288256379630267478522,0.000996307919062925,0.000996307919065930,81,44
087,3,11,977953629514664057742790710343/976969674534330308078070264252,2022522353676932668216859365993/2020487419828659281720775966576,0.001006643136725715,0.001006643136727966,99,53
087,3,16,1970398841520453658182982627775/1968411686226715157813202281454,493617294086967564322955682303/493119479026200027070881413452,0.001009012974010619,0.001009012974012676,144,61
088,3,9,657326529235311696050926226765/656666037092589934766061056787,494423187668775312024291274627/493926383392496326131904239368,0.001005321057783305,0.001005321057786552,81,44
088,3,11,65255816438256409601225982785/65190160170267667966967966847,2993316608280298253772356921219/2990304922761116662908447640560,0.001006643136722734,0.001006643136728200,99,53
088,3,16,9773219543233532774944440255550/9763448835664589203678431839913,4487737254895210994348797644469/4483250671106732199906071051028,0.001000243050050287,0.001000243050052137,144,61
089,3,9,196201296525282498946244203078/196005916965111992418829869315,2696364438977319080421145150373/2693679367535497187459405694912,0.000996307918935902,0.000996307918939085,81,44
089,3,11,9790585865339963579196210932815/9780834297086544432181522177053,1009893008163516687238124688329/1008887139798412751229126118680,0.000996511135059130,0.000996511135061348,99,53
089,3,16,814675844548469014705642210505/813862162079275788639469935729,2243879801478462725439203963605/2241638657752818656096577607194,0.000999279763310371,0.000999279763312444,144,61
090,3,9,1550065519923859375000000000/1548521863873424067729375159,2448191003706906747137340450336/2445752935891744496309020667125,0.000996361236227014,0.000996361236233780,81,44
090,3,11,1349837813363736000000000000000/1348495727585994305300953136651,92197850689852956991290123006/92106182325754352972742481825,0.000994751662864427,0.000994751662866733,99,52
090,3,16,377942508344852100000000000000/377565421448957119831359919877,2227442974656159919900799994002/2225220574321314042836302258805,0.000998234200694418,0.000998234200696699,144,61
091,3,9,8898802947889376263581121142530/8889851361255440977432203844653,444379030831115388843258378943/443932015944271567192877719048,0.001006437837732864,0.001006437837734714,81,44
091,3,11,435901893503363457366335698115/435467322512891073043814344284,987763457156618760742996725033/986778709555543915566578661928,0.000997444065073881,0.000997444065079558,99,52
091,3,16,1096914246204576380335199137820/1095810482010174999533987627817,13362940149073285732690603027/13349493760789478389162129836,0.001006751347695663,0.001006751347697770,144,61
092,3,9,463131952736901941462308648705/462666073694277379240233626697,1346671491916005007972871390461/1345316832576096158718380169180,0.001006437837732702,0.001006437837735349,81,44
092,3,11,8887858308492265984166576982670/8878915817155517022417418491843,1348363307415004020227092054819/1347006655814938050827782602192,0.001006653433950816,0.001006653433953056,99,52
092,3,16,822830909051486329297283459705/822002565723461085582569889486,892047067247029269617364984193/891149044058652266495225910540,0.001007206395973513,0.001007206395977607,144,61
093,3,9,769646797795954922199027162400/768872585810174478175252928331,3594138708279878817531671052221/3590523250807071308111681749128,0.001006437825068952,0.001006437825071135,81,44
093,3,11,1448429919321883975992208777985/1446972586007619854689488084816,168315281002152170607590276681/168145931099176169109300207246,0.001006653433950894,0.001006653433953093,99,52
093,3,16,1941312181130861765838990144470/1939355594228406766873132046007,494420707903061676215335703315/493922396971522504110446595516,0.001008376486475068,0.001008376486477157,144,61
094,3,9,5935855532563886515818658221605/5929884468213163770180175431912,561866805483875942697195266660/561301605937882609551907130799,0.001006437837732466,0.001006437837734832,81,44
094,3,11,3950648010252185878030218627845/3946673077891663513605951362391,498746074429208785658219308214/498244262598391875882285246129,0.001006653433949071,0.001006653433951954,99,52
094,3,16,1975296831689596645853440337995/1973320473443184750106717302942,7558694262743510763956501134727/7551131506858593493877542929912,0.001001038216026413,0.001001038216029063,144,61
095,3,9,5935855532563886515818658221605/5929884468213163770180175431912,444379030831115388843258378943/443932015944271567192877719048,0.001006437837732466,0.001006437837734714,81,44
095,3,11,651977279263934865554455412956/651321294327114270582281559921,1196387906299905364632613587295/1195184164282982443943258008488,0.001006653433845753,0.001006653433848346,99,52
095,3,16,978741791289049902870905775647/977794989327842483905388000532,1791885378793619740407396459373/1790151969015878125779664676640,0.000967834639750531,0.000967834639752863,144,61
096,3,9,3953913075414345214068252112655/3949935709559664739679869000374,2966539430212113611052929097881/2963555294645329460367932411448,0.001006437825068293,0.001006437825070677,81,44
096,3,11,591713074719798841706035799974/591117724427202225498781238085,317492091963630412579724324317/317172648270523350289206358026,0.001006653433949911,0.001006653433952941,99,52
096,3,16,1317261343042470094755986991830/1315936091497715291196349698069,4415648702638628932446431280551/4411206269635349400277812358248,0.001006572191864719,0.001006572191866407,144,61
097,3,9,593253529859290432254790943764/592656757417028342516888577843,299260331550907378255466968389/298959296142024807805880682440,0.001006437837732423,0.001006437837734803,81,44
097,3,11,1086322578516534089694932282150/1085229578390956539020537844033,28863847642316300936162327989/28834806370670384278122800676,0.001006653433950673,0.001006653433953493,99,52
097,3,16,1970411865880195768969269440885/1968443888792877676034323947234,2991356659953217687688132488021/2988368999622532311722476079496,0.000999263427577849,0.000999263427580857,144,61
098,3,9,1799621567950381337266880450782/1797829483613290523066583580365,1792529476184897965410305982077/1790744454236247397651650172536,0.000996307918936940,0.000996307918940610,81,44
098,3,11,4345184578163978445952787576255/4340812684038416473103401737798,2693349031786016013424034921051/2690639126925047116372046334696,0.001006653436048194,0.001006653436049935,99,52
098,3,16,5923233793072354013668640646455/5917264050372238178989145265276,4449787101047902964857630683163/4445302374462457553270601549096,0.001008360169458967,0.001008360169460864,144,61
099,3,9,8997201938864061921920885536360/8988141229867523850788914633431,891762508710989041687120998047/890864451666098480123774185248,0.001007565958354172,0.001007565958360021,81,44
099,3,11,8889962693523104215504849569700/8881834152132761430557548970667,897894053834295238317814454323/897073064002012678335443499136,0.000914768723474490,0.000914768723476874,99,52
099,3,16,9889719900413472436938174253300/9879762153721137330448688000247,991479978225016142090751896635/990481678316310514854738401694,0.001007385778462276,0.001007385778464355,144,61
100,3,9,4449401473944609012753532626985/4444925680627642775291620585131,2224904544732708196958324979763/2222666443057564525335292381770,0.001006437837732565,0.001006437837734557,81,44
100,3,11,203765722044890042822830961825/203581263454404404473476577323,370449352339230567602366191570/370114003661870998122165113691,0.000905658368221629,0.000905658368223744,99,52
100,3,16,9872339164927759219005439615660/9862469363213468985754595224539,1009533985117690775827678988039/1008524710609338436842185592273,0.001000243050050322,0.001000243050052450,144,61
101,3,9,37389153941882250000000000000/37352331919543844437668053851,2227417706596335256423871954601/2225224075130988455900725859065,0.000985316919862375,0.000985316919866677,81,44
101,3,11,674769896555977500000000000000/674105012733253230859649038193,445872506152515978039729572144/445433166137716083301769412085,0.000985834745674101,0.000985834745677734,99,52
101,3,16,1485089853567823500000000000000/1483608102040025181372247829663,3952269616058573235594310966684/3948326230728851779467831067095,0.000998250191163328,0.000998250191165354,144,61
102,3,9,66662932591970151719131105970/66595874244924640317947661807,499437722844707733321591740591/498935322682518566690197500712,0.001006437837732824,0.001006437837734958,81,44
102,3,11,109764825510824771645722322156/109654387097931420383252674413,11268381097336786549999213351/11257043566224443855734715136,0.001006643136726190,0.001006643136728237,99,52
102,3,16,78816472416871830925935312488/78737115088886430737613420729,224735878412559074697690748239/224509600348260650966137163648,0.001007369441123508,0.001007369441126188,144,61
103,3,9,1317971025154509195153582658570/1316645236519592242560976463121,734113130838392876888787134333/733374663279519688781064725508,0.001006437837732020,0.001006437837734712,81,44
103,3,11,8888952835694128943057997593795/8880009334541647009074148513887,1122492453967919919465771493763/1121363073180182809007873779122,0.001006643136726319,0.001006643136728315,99,52
103,3,16,790953129112786078646195324398/790155952570074659042485923561,2692133563852700507164050293617/2689420247920361410144620648516,0.001008376486474801,0.001008376486477489,144,61
104,3,9,988755867932555111735535826640/987761236022651747663762419287,4494944516056549285497480079513/4490422858695087678521528835696,0.001006449164413033,0.001006449164415426,81,44
104,3,11,4938317180820953060844838995460/4933348558958023287623646510537,1795635770296007212697659100551/1793829115352735029852739967348,0.001006643136726044,0.001006643136728826,99,52
104,3,16,658264727241189063437826767764/657602052578768934464717891493,1009521976095749126064016036165/1008505690994889769466446815312,0.001007206395973413,0.001007206395975698,144,61
105,3,9,2933169034046686675641768662680/2930218466776683843996387219987,299595676871560862134067847099/299294304128240347080730302800,0.001006437837732937,0.001006437837735061,81,44
105,3,11,1780001879038917357664153786484/1778210953926493098098511796617,3589159752378763167480780029123/3585548567239719491729851336728,0.001006643136725995,0.001006643136728753,99,52
105,3,16,3942975415862959294679972710375/3939039727123698874972041403878,1121904764493830454863314716646/1120784933025851131778796190359,0.000998650470711615,0.000998650470714154,144,61
106,3,9,1977953721605482820255881239463/1975964035554359390154659705928,3594138719517281809815437213717/3590523261987647441159804111712,0.001006437837746817,0.001006437837749733,81,44
106,3,11,1755748724195673588179877241517/1753982201071008878308317930222,1316637610909105230630599785547/1315312893565201356846147599268,0.001006643136725994,0.001006643136728107,99,52
106,3,16,1186185915232119688604022943969/1184997942098182841976681906618,1940270399805123287960515527101/1938327206012356788602307988956,0.001002008536503969,0.001002008536506020,144,61
107,3,9,2962947427763397963740443458325/2959966905467677661607163190073,444379030831115388843258378943/443932015944271567192877719048,0.001006437837732335,0.001006437837734714,81,44
107,3,11,21874391741115490592506052489/21852383114076735707940084678,1010016180694913564665714194359/1008999966407121178151147785161,0.001006643136620097,0.001006643136623149,99,52
107,3,16,196268283797300297125155232292/196070665475096061546059621451,4449931609429426170466249756967/4445451068806313373995504692740,0.001007385778460572,0.001007385778464468,144,61
108,3,9,1972006106889188790416552710285/1970020181309735904550896817692,3999455564095839266228812170563/3995427878237816709563134057860,0.001007565958352725,0.001007565958356357,81,44
108,3,11,1780001856544690750949303264462/1778210931453033952486090224405,899798961396670420040501261443/898893640690685943609779572248,0.001006643137774692,0.001006643137780127,99,52
108,3,16,8884613065668628324295861325655/8875674560601265511278076170842,448688124126348646278906029987/448236714364152735251861975418,0.001006572191864736,0.001006572191866565,144,61
109,3,9,11010742854882450026937542839/10999776996650700000000000000,4044591553061972074910032567741/4040563449040198593629054076360,0.000996419822249325,0.000996419822255044,81,44
109,3,11,9780643261545360940012879082020/9770802597982567469103136350129,2022522353676932668216859365993/2020487419828659281720775966576,0.001006643136725850,0.001006643136727966,99,52
109,3,16,1626141597614377623549715022635/1624501627159677642565485358599,2247458683580961519945602474467/2245192112302885146846113957502,0.001009012974010875,0.001009012974012598,144,61
110,3,9,2933169034000332809823021807635/2930218466730377202791427036141,1581951689534544947761459922005/1580360354420989124198829617214,0.001006437837732734,0.001006437837734405,81,44
110,3,11,1629956296413674216328293038580/1628331333506620975201671546237,1756372283158555277075713384880/1754621291541544623778460285441,0.000997433760513309,0.000997433760515062,99,53
110,3,16,9774845123618172908509597585400/9765009396425800559795637733407,1760153560429607632611725029373/1758382443852500065772049932867,0.001006735031011066,0.001006735031012854,144,61
111,3,9,270324326941342338435026995747/270079563194410658539529692104,1946041562867955543662636367/1944279529720577148437500000,0.000905854928643858,0.000905854928645869,81,44
111,3,11,36699090287678959638670143955/36665882627683281385882854336,51514114862903389221548462289/51467501630860187500000000000,0.000905272937314313,0.000905272937318749,99,53
111,3,16,62802772895840174715876178169/62745809935441392947492630112,70305592770117192772381267089/70241824651097585937500000000,0.000907425046510255,0.000907425046511663,144,61
112,3,9,987675223424156659236380468020/986692797804792218640247855341,1583722982004294789483058842826/1582147676686714667519871361609,0.000995179915681982,0.000995179915685145,81,44
112,3,11,4400411485146208532532163922885/4396028610261491301309667782174,879090563663074650161327577905/878214976467221886371350659873,0.000996511134021327,0.000996511134023052,99,53
112,3,16,9097175249182517218724257226450/9088017128919116515197152859753,176422886653590647153141384677/176245281851117467674644325856,0.001007206395973529,0.001007206395976688,144,61
113,3,9,2900070047141564384323934355905/2897152775186731949524827790593,1760104826972890679024206971857/1758334281997826101259114749197,0.001006437837732451,0.001006437837734135,81,44
113,3,11,9779647067955186905027162209840/9769807406699263585115926423749,790101417383894808361937757531/789306467397369209922151069855,0.001006643136726152,0.001006643136727924,99,53
113,3,16,1224040906172184674696295020210/1222826703915171442978624496859,7964495943163241683852349223/7956595464591476092294235410,0.000992454476629570,0.000992454476631249,144,61
114,3,9,5935855586493795725176317798005/5929884454922915859260446319217,1564100346149878985626011702053/1562526950567583056509516304172,0.001006449164413020,0.001006449164414777,81,44
114,3,11,4938317180821071739400380911880/4933348558958142085215210338097,1580202609886318636012603564952/1578612710139528798289682586623,0.001006643136725995,0.001006643136728006,99,53
114,3,16,790117558288192825985679441844/789320734393510432638338567517,878632369211945967737810480455/877746279212949230645918821928,0.001008996636306230,0.001008996636308261,144,61
115,3,9,9889768483899317306711497065545/9879820053893822423798934131988,888977983369267635406628070132/888083732380643596051526867377,0.001006437825068661,0.001006437825070334,81,44
115,3,11,1958138705047114654209410485547/1956168549946846704619465609617,263367138759200283299274937128/263102155430729752165566668081,0.001006643136724921,0.001006643136726756,99,53
115,3,16,788607767974684353058914524614/787814235553413633380118764757,1582284475999670764792582532422/1580692310562844945135364752319,0.001006751347695449,0.001006751347697502,144,61
116,3,9,3463410590132008068769481369495/3459926636152131418127970815601,78980427429848316288967957859/78900978526140170166588122752,0.001006437837732268,0.001006437837734437,81,44
116,3,11,9779636956590992060557391886320/9769797305508484138177694338317,1776008346735135437124068449552/1774221439661887865644211223137,0.001006643136726010,0.001006643136727758,99,53
116,3,16,4153112361684997857741305865665/4148934057507217540241700300537,16477290526068207107274945463/16460713288120392254998603971,0.001006572191864637,0.001006572191865993,144,61
117,3,9,2933533912418840482598089557610/2930582978106171730728166818189,1423454374414935885439609362779/1422022476751096821611962950946,0.001006437837732872,0.001006437837734249,81,44
117,3,11,492174372782632840378773622525/491679178112174070991654661229,1758160810302064402050527861547/1756391860289182674539839831243,0.001006643136724385,0.001006643136727672,99,53
117,3,16,1962685951511642621455834779755/1960706574699038213527135248489,1777947209963667853330830664252/1776154142927784854610536276773,0.001009012974009487,0.001009012974012184,144,61
118,3,9,1631763740648723897445778500490/1630120459047889906168086859803,59086326793451967002115757009/59026823403799339271872933427,0.001007565958354357,0.001007565958357538,81,44
118,3,11,197974069176819232294360905991/197774880211548033563754342207,790101294801271714058524499644/789306344937253324333766307175,0.001006643137774082,0.001006643137776516,99,53
118,3,16,5923224242911732479387722740265/5917264126202389190763224920671,1760153560429607632611725029373/1758382443852500065772049932867,0.001006735031010952,0.001006735031012854,144,61
119,3,9,198195359146987516273099416487/197995985939712600000000000000,32872707278917399285304947094/32839639213599158060100352393,0.001006449164409231,0.001006449164415011,81,44
119,3,11,4394939945386248279653394965245/4390558468939365867387876470157,195571629032484132713288416261/195376656519336250271649689139,0.000997433862827750,0.000997433862829754,99,53
119,3,16,922169519541007287362556297715/921245359435743056729864653773,439320667651368158946913313531/438880398670601912894736728320,0.001002661086473362,0.001002661086474790,144,61
120,3,9,990855742518993704575617221465/989869036709224031704068293532,8088276080829982925889831978443/8080221680317845758168076692016,0.000996307918936195,0.000996307918939070,81,43
120,3,11,9780643261545360940012879082020/9770802597982567469103136350129,2022522353676932668216859365993/2020487419828659281720775966576,0.001006643136725850,0.001006643136727966,99,53
120,3,16,1184355091766649097522875673775/1183163552651657223266686480296,1720011417170770221107656616669/1718280972563368603550318354700,0.001006572191864631,0.001006572191866926,144,60
121,3,9,897299878267561500000000000000/896406298534870442386779895417,1113707389566840974273710937224/1112598299533985635330218477985,0.000996350258665462,0.000996350258669137,81,43
121,3,11,18016103407862160000000000000/17998174672318746114228868927,1209099354500884051972395331339/1207896118591215756552620782490,0.000995646059297785,0.000995646059301385,99,53
121,3,16,495117686745962000000000000000/494628436234984292718504193127,4937616025012569567877192482568/4932736920048393790166330926775,0.000988638479035144,0.000988638479036920,144,60
122,3,9,2224700705939963831586677253430/2222462809312697402158385256021,2693342972525860647139571708165/2690633653857418012711920684504,0.001006437837732440,0.001006437837734661,81,43
122,3,11,492726887111350800833553882440/492231137043856604375769898887,4490020736243789707180279923853/4485503166488054974777669297092,0.001006642104941537,0.001006642104945321,99,53
122,3,16,1970398970439227924552174899615/1968411847174804945927761754266,111506078019639278524523121302/111393625503634930105998305823,0.001008996636306219,0.001008996636310229,144,60
123,3,9,3953980311252946517571383911670/3950047346738942925841471135029,3148233012488716382384836201873/3145101512646715540109274307356,0.000995179928203320,0.000995179928205757,81,43
123,3,11,5928244089061167404321831776430/5922339476361279524170154454933,149518710612004269561356804323/149369787918490056383782389396,0.000996510113770086,0.000996510113772572,99,53
123,3,16,9774843516976707091282532329390/9765007632068433057891568105137,1112482905226839018942275242882/1111363475151129631951038944031,0.001006751347695572,0.001006751347697702,144,60
124,3,9,989751573464112176089177559390/988867007906398938341551326753,1326245519182972314782112915631/1325060220630490109037197343792,0.000894124441135749,0.000894124441138213,81,43
124,3,11,9779648202841680337026233398550/9769808550524226575202781299711,374164151837753836487078559737/373787691960324232104563676165,0.001006642104943349,0.001006642104945526,99,53
124,3,16,8775304096257099483750316808/8766470003468938862061080475,1103899696488337393290306495851/1102788401399227066893979310055,0.001007206395973544,0.001007206395975604,144,60
125,3,9,468829692693519532973042059580/468410687955655360414937060103,2698074341764868856453459299957/2695663005729778406910544242084,0.000894124441135779,0.000894124441138175,81,43
125,3,11,4889824107193750815377442596440/4884904281029216123572162092999,4490020736243789707180279923853/4485503166488054524827819899856,0.001006642104943242,0.001006642104945421,99,53
125,3,16,608253079998874245485162129165/607644875761760150060993901324,1889503979516025078015459538177/1887614627264179543547967232026,0.001000419952939031,0.001000419952941004,144,60
126,3,9,4399858390569836480827172640185/4395432434203472787652001764284,3594179066551125928215529787185/3590563568435188929432418086576,0.001006437837732711,0.001006437837735356,81,43
126,3,11,395359156449641505759705986785/394961371523302816937068460973,4490020736243789707180279923853/4485503166488054074877970502620,0.001006642104943191,0.001006642104945521,99,53
126,3,16,2443711280904543227127399396350/2441252349106449892453927008711,1348173875180680971717713532175/1346817304280938932808754538888,0.001006735031011168,0.001006735031012978,144,60
127,3,9,329216379482141804440509134635/328885210339557019864066219374,2696357721129411803837807051873/2693645369830198610037570616368,0.001006437837746043,0.001006437837748705,81,43
127,3,11,984347578455022499822902302415/983357191302987098514804308721,748328303675498682994227420911/747575383920639465212139407610,0.001006642104942885,0.001006642104945550,99,53
127,3,16,989297384131504611298765105135/988299673671808518358060704618,2247458683580961519945602474467/2245192112302885146846113957502,0.001009012974010337,0.001009012974012598,144,60
128,3,9,2966267239226211730058693353015/2963280034488202161834876332958,1792559350868921264265971219747/1790754138676546460964956579688,0.001007565958354566,0.001007565958357223,81,43
128,3,11,989872350541730312197593795755/988885511574533151596703593352,8080340536486100612336401131029/8072284957496230645028882942568,0.000997432852099083,0.000997432852105325,99,53
128,3,16,2636511618741024986744683198855/2633859114654455167720316642946,448688124126348646278906029987/448236714364152735251861975418,0.001006572191864739,0.001006572191866565,144,60
129,3,9,9790583782604805514082371675900/9780735125494404548718024711177,20017683014946576048195987977/19997546596063158434327565640,0.001006437837732853,0.001006437837737039,81,43
129,3,11,4450004641248220728877043598460/4445527333110673459942756365813,8979939643068135962946678445397/8970904606010871242673899071488,0.001006642104943223,0.001006642104945363,99,53
129,3,16,9873811170919079765444395137710/9863869442385002804023626799551,2211378367607364320138680668311/2209151778194587066838512725924,0.001007385778462363,0.001007385778464543,144,60
130,3,9,198193132027611523491508408171/197993763303303072021955230726,8899617277384621016924012538139/8890664871590938043727884551584,0.001006437837731078,0.001006437837734789,81,44
130,3,11,888896407285027182087758548769/888002056955393232061465803924,4489964719870226448177649932997/4485447206474559906851665027272,0.001006642104943013,0.001006642104945329,99,53
130,3,16,9873981067713606296431249125655/9864109465521129522996305686362,3584259842027813800999311823451/3580676445718624150569376364976,0.001000259168830445,0.001000259168832856,144,60
131,3,9,448605692801601750000000000000/448163396382660022770222330763,2447920256962005945665382470676/2445506764710599692478058401735,0.000986422168516052,0.000986422168519874,81,44
131,3,11,450392390761338000000000000000/449944182522408850644046294807,635701117826879666024078884732/635068499504828430609061183475,0.000995646048944946,0.000995646048950556,99,53
131,3,16,4497758375719732500000000000/4493277884178723488754605329,2223894420038956600662838575667/2221679063120075965791347736135,0.000996657511409496,0.000996657511411734,144,60
132,3,9,489529189130240275704118583795/489036756274720276934897720487,499437722844707733321591740591/498935322682518566690197500712,0.001006437837732751,0.001006437837734958,81,44
132,3,11,8888965186388204060061622013455/8880021672810171178408002226782,1010016308364459379972792103267/1009000093948214014320317785728,0.001006643136621037,0.001006643136623120,99,53
132,3,16,1978603013989244172836894427625/1976620490098089464158236275481,597035860371371825211335135831/596437641401372183730294897264,0.001002483958308832,0.001002483958312630,144,60
133,3,9,1958094526903752727300155945842/1956124795686745532229604855575,1123734876258215840331962849458/1122604463178051399289312959825,0.001006449164413133,0.001006449164415354,81,44
133,3,11,494444966411780303421781877000/493947487213872538682537886069,672840161882786816945840723653/672163192742047571621010864330,0.001006643136725959,0.001006643136729115,99,53
133,3,16,4442778327414228324770657401235/4438588211381159558854451551017,62429471842081626457741131053/62370592755252556327406232198,0.000943574691045318,0.000943574691047528,144,60
134,3,9,4944945927823542672452584067530/4940027265390650543631725938071,4494940071501324779697466557191/4490469023042847870612184586940,0.000995179803262439,0.000995179803264786,81,44
134,3,11,4939422927117981600964839039200/4934503188869556828672166790889,4040029219803219679824847348031/4036005290981829814734674058264,0.000996511134022229,0.000996511134024455,99,53
134,3,16,3258278362027009837231380223565/3254997724658775840197702706543,3591124750136297163894591528527/3587508982316513761627612019184,0.001007369441123757,0.001007369441126044,144,60
135,3,9,2422818648823707279042166532840/2420381459107264273948378281753,8098208305632862741337796887299/8090062062407548929432418086576,0.001006437837732364,0.001006437837734525,81,44
135,3,11,1316148945207217314869716398325/1314824719526406095150552398281,1481646749947173742480586212619/1480156010860749995189359262148,0.001006643137774220,0.001006643137776920,99,53
135,3,16,8883002135812585427370240797795/8874049240032942827696450109039,1792129852089029831600614833079/1790323621318838123566321390452,0.001008376486475333,0.001008376486478099,144,60
136,3,9,2224700705939963831586677253430/2222462809312697402158385256021,399348745356785501238862027891/398947027854762281982131259472,0.001006437837732440,0.001006437837735217,81,44
136,3,11,9791800278865539740473366925815/9781948389818818616543539048107,740814889007824526448056399087/740069528003430641790870984822,0.001006643136725040,0.001006643136727170,99,53
136,3,16,1317261343042470094755986991830/1315936091497715291196349698069,51708453505904859281019132299/51656431400915857963064997551,0.001006572191864719,0.001006572191866570,144,60
137,3,9,1958094527601938669553250244702/1956124818540630205306871423175,1346676491570539783989001469881/1345321827201320744205457397304,0.001006437837732452,0.001006437837735319,81,44
137,3,11,1777812592232087211938392478722/1776040044958059943964100030135,2020057637817595332865616488165/2018043562951130244495113780694,0.000997535689838778,0.000997535689841079,99,53
137,3,16,9889719900413472436938174253300/9879762153721137330448688000247,599518536415633345608118130827/598914894069528702462452135136,0.001007385778462276,0.001007385778465149,144,60
138,3,9,394419018033517661115235617646/394021814995352764889986812075,4044541078636692710798843913565/4040467989026480966458866293604,0.001007565958353578,0.001007565958356728,81,44
138,3,11,9779648192692567183711138965130/9769808530294760876117670670977,899799983886547551913097547125/898894662151799420947187528544,0.001006643137774637,0.001006643137779151,99,53
138,3,16,8898947012517287659006206501640/8890106363082990323248112500563,1110670329581061524648041049927/1109566935324740068975843832358,0.000993942732697184,0.000993942732699100,144,60
139,3,9,198193132027611523491508408171/197993763303303072021955230726,8899617277384621016924012538139/8890664871590938043727884551584,0.001006437837731078,0.001006437837734789,81,44
139,3,11,4444487075282411870607270875045/4440015313983336592834704577332,4489974911900947905451009371029/4485457383622698788519254883316,0.001006643136725892,0.001006643136728071,99,53
139,3,16,9889719900413472436938174253300/9879762153721137330448688000247,4449931609429426170466249756967/4445451068806313373995504692740,0.001007385778462276,0.001007385778464468,144,60
140,3,9,495482823843868801272901372265/494984402045627741452329286122,4450262265853170006011214619187/4445785606694757667247511119700,0.001006437825068085,0.001006437825070715,81,44
140,3,11,493831392982599176629883837965/493334531123400722455933773258,8079133600135580024974504023203/8071004887788961390033777612032,0.001006643136726027,0.001006643136728404,99,53
140,3,16,788608896239122073291247831059/787814223518445423619222057617,336447288276755159023983304763/336108253955414142574027554915,0.001008197327265453,0.001008197327268279,144,60
141,3,9,891044046591144300000000000000/890156696753853928694949695381,986129899690409453314919821132/985147858219634082721528427995,0.000996350258681134,0.000996350258684040,81,44
141,3,11,4495028980466515500000000000000/4490555745327621224278480570259,2152111090429945114606814314/2149969413703409402803127515,0.000995647060248558,0.000995647060254082,99,53
141,3,16,4497758375719732500000000000/4493277884178723488754605329,122410160046782139580185571511/122288219817714916160729778744,0.000996657511409496,0.000996657511411534,144,60
142,3,9,8888056567824524927912244366170/8879205736490848972926429023343,741644102813239530735282517781/740905564887255416389682083266,0.000996307918936866,0.000996307918939175,81,44
142,3,11,656965816878277818417079664710/656304819497710327990987444179,2963561065243296096764989185133/2960579317866252567986872151592,0.001006643136724549,0.001006643136727863,99,53
142,3,16,1978687359409749022104290240665/1976775283939057169901028998867,8975520409563969079940479348715/8966847047230978226754631571232,0.000966802516940931,0.000966802516943654,144,60
143,3,9,1976962099955713782806481372685/1974973411433132857222593926013,635751744205116254119092461503/635112221476307688430210951092,0.001006437825068023,0.001006437825070630,81,44
143,3,11,9779648303119551106992537678055/9769808640620884305769530984621,84105689867921028394359733301/84021068051586805008774053961,0.001006643136726086,0.001006643136728520,99,53
143,3,16,5923265691249273224816266457560/5917355673202854697095624096477,299196328252896780218954946823/298897801090420704704851268664,0.000998261553224254,0.000998261553226375,144,60
144,3,9,4399858390569836480827172640185/4395432434203472787652001764284,2247497507665547551573987305965/2245236679016203081863146525208,0.001006437837732711,0.001006437837734744,81,44
144,3,11,60368198706370479118933512155/60307460049677511732247817268,997492415882010866058059229419/996488802212884971737104643913,0.001006643136620963,0.001006643136623049,99,53
144,3,16,3258317062240081180747447123280/3255057518391164829280848615603,46040028306835950137493742781/45993970944030173258099241912,0.001000877219840737,0.001000877219843158,144,60
145,3,9,4449401473937725656532101474625/4444925680620766374699934366533,2247467221941823726679359156429/2245206423757844584444219935984,0.001006437837732558,0.001006437837734589,81,44
145,3,11,329161887974466132905981922790/328832219972176116389659771299,4444668871754602935781476861409/4440217368827542010959903933224,0.001002039458691488,0.001002039458693730,99,53
145,3,16,788607767974684353058914524614/787814235553413633380118764757,4494193357204384111264858974119/4489671098762055956291477331312,0.001006751347695449,0.001006751347697681,144,60
146,3,9,9008058076001417301579911395445/8999097896758327504000269097284,8089094434932226204366956713723/8081048334935986379138041212888,0.000995179915822918,0.000995179915825257,81,44
146,3,11,888808892980500275237760656975/887931730393413320776962386196,4039672074082077365298404181553/4035685334935476669598927553472,0.000987384029848340,0.000987384029850413,99,53
146,3,16,4370120725910826892681403690140/4365751658050210214438850867669,4443357740589081337644743624879/4438915453358302982176824466752,0.001000259168830342,0.001000259168832581,144,60
