N	num_bits	den_bits	v5_den	v239_den
709	97561	97564	7802	8513
710	97695	97697	7813	8525
711	97843	97846	7825	8537
712	97988	97990	7835	8549
713	98110	98110	7846	8561
714	98251	98257	7857	8573
715	98388	98390	7868	8585
716	98524	98526	7880	8597
717	98670	98670	7890	8609
718	98790	98791	7901	8621
719	98947	98950	7912	8633
720	99083	99084	7923	8645
721	99211	99212	7935	8657
722	99354	99356	7945	8669
723	99497	99502	7956	8681
724	99647	99649	7967	8693
725	99781	99782	7978	8705
726	99930	99931	7990	8717
727	100060	100062	8000	8729
728	100222	100222	8011	8741
729	100366	100368	8022	8753
730	100501	100502	8033	8765
731	100627	100627	8046	8777
732	100768	100769	8055	8789
733	100886	100889	8066	8801
734	101034	101036	8077	8813
735	101182	101182	8088	8825
736	101329	101331	8100	8837
737	101475	101475	8110	8849
738	101608	101609	8121	8861
739	101755	101755	8132	8873
740	101875	101876	8143	8885
741	102024	102025	8155	8897
742	102142	102143	8165	8909
743	102260	102263	8176	8921
744	102421	102423	8187	8933
745	102553	102556	8198	8945
746	102692	102692	8210	8957
747	102836	102836	8220	8969
748	102969	102970	8231	8981
749	103086	103090	8242	8993
750	103236	103237	8253	9005
751	103396	103399	8265	9017
752	103530	103530	8275	9029
753	103663	103664	8286	9041
754	103806	103810	8297	9053
755	103943	103944	8308	9065
756	104087	104090	8321	9077
757	104202	104205	8330	9089
758	104336	104339	8341	9101
759	104484	104485	8352	9113
760	104605	104606	8363	9125
761	104768	104768	8375	9137
762	104886	104886	8385	9149
763	105046	105046	8396	9161
764	105179	105179	8407	9173
765	105313	105313	8418	9185
766	105449	105449	8430	9197
767	105606	105606	8440	9209
768	105738	105740	8451	9221
769	105873	105873	8462	9233
770	106018	106020	8473	9245
771	106156	106156	8485	9257
772	106273	106274	8495	9269
773	106420	106421	8506	9281
774	106555	106559	8517	9293
775	106679	106680	8528	9305
776	106815	106815	8540	9317
777	106960	106960	8550	9329
778	107106	107107	8561	9341
779	107250	107253	8572	9353
780	107370	107374	8583	9365
781	107531	107532	8599	9377
782	107634	107634	8605	9389
783	107780	107781	8616	9401
784	107932	107934	8627	9413
785	108078	108081	8638	9425
786	108243	108243	8650	9437
787	108373	108374	8660	9449
788	108506	108508	8671	9461
789	108668	108668	8682	9473
790	108799	108801	8693	9485
791	108950	108951	8705	9497
792	109060	109063	8715	9509
793	109215	109215	8726	9521
794	109348	109349	8737	9533
795	109481	109482	8748	9545
796	109629	109632	8760	9557
797	109749	109750	8770	9569
798	109869	109870	8781	9581
799	110009	110009	8792	9593
800	110148	110149	8803	9605
801	110280	110285	8815	9617
802	110443	110445	8826	9629
803	110575	110576	8836	9641
804	110722	110723	8847	9653
805	110856	110857	8858	9665
806	110995	110995	8871	9677
807	111136	111137	8880	9689
808	111270	111271	8891	9701
809	111390	111391	8902	9713
810	111536	111538	8913	9725
811	111673	111674	8925	9737
812	111831	111832	8935	9749
813	111952	111952	8946	9761
814	112095	112099	8957	9773
815	112232	112233	8968	9785
816	112388	112390	8980	9797
817	112516	112521	8990	9809
818	112666	112668	9001	9821
819	112814	112815	9012	9833
820	112947	112948	9023	9845
821	113096	113098	9035	9857
822	113228	113229	9045	9869
823	113360	113362	9056	9881
824	113507	113509	9067	9893
825	113641	113643	9078	9905
826	113775	113779	9090	9917
827	113921	113921	9099	9929
828	114068	114070	9111	9941
829	114203	114204	9122	9953
830	114323	114324	9133	9965
831	114474	114476	9146	9977
832	114591	114592	9155	9989
833	114711	114712	9166	10001
834	114858	114859	9177	10013
835	114979	114979	9188	10025
836	115114	115115	9200	10037
837	115242	115247	9210	10049
838	115379	115380	9221	10061
839	115526	115527	9232	10073
840	115659	115661	9243	10085
841	115809	115810	9255	10097
842	115952	115955	9265	10109
843	116088	116088	9276	10121
844	116220	116222	9287	10133
845	116366	116369	9298	10145
846	116503	116505	9310	10157
847	116663	116663	9320	10169
848	116810	116810	9331	10181
849	116941	116944	9342	10193
850	117070	117071	9353	10205
851	117203	117207	9365	10217
852	117331	117338	9375	10229
853	117455	117458	9386	10241
854	117607	117619	9397	10253
855	117744	117752	9408	10265
856	117920	117925	9421	10278
857	118045	118046	9430	10289
858	118177	118180	9441	10301
859	118326	118327	9452	10313
860	118460	118461	9463	10325
861	118623	118623	9475	10337
862	118753	118755	9485	10349
863	118888	118888	9496	10361
864	119022	119022	9507	10373
865	119142	119143	9518	10385
866	119277	119279	9530	10397
867	119410	119410	9540	10409
868	119530	119530	9551	10421
869	119690	119691	9562	10433
870	119810	119811	9573	10445
871	119960	119960	9585	10457
872	120105	120105	9595	10469
873	120238	120239	9606	10481
874	120371	120373	9617	10493
875	120518	120520	9628	10505
876	120653	120656	9640	10517
877	120783	120787	9650	10529
878	120920	120921	9661	10541
879	121040	121041	9672	10553
880	121175	121175	9683	10565
881	121310	121313	9696	10577
882	121441	121442	9705	10589
883	121587	121589	9716	10601
884	121739	121743	9727	10613
885	121863	121863	9738	10625
886	122010	122013	9750	10637
887	122144	122144	9760	10649
888	122289	122291	9771	10661
889	122438	122439	9782	10673
890	122558	122559	9793	10685
891	122708	122708	9805	10697
892	122839	122840	9815	10709
893	122973	122973	9826	10721
894	123131	123134	9837	10733
895	123267	123268	9848	10745
896	123403	123404	9860	10757
897	123520	123522	9870	10769
898	123664	123669	9881	10781
899	123801	123803	9892	10793
900	123936	123936	9903	10805
901	124059	124059	9915	10817
902	124177	124177	9925	10829
903	124322	124324	9936	10841
904	124471	124472	9947	10853
905	124617	124619	9958	10865
906	124758	124759	9972	10877
907	124899	124900	9980	10889
908	125029	125033	9991	10901
909	125179	125181	10002	10913
910	125299	125301	10013	10925
911	125437	125437	10025	10937
912	125581	125582	10035	10949
913	125715	125716	10046	10961
914	125849	125849	10057	10973
915	125982	125983	10068	10985
916	126132	126133	10080	10997
917	126264	126264	10090	11009
918	126384	126384	10101	11021
919	126517	126518	10112	11033
920	126636	126639	10123	11045
921	126786	126788	10135	11057
922	126932	126933	10145	11069
923	127067	127067	10156	11081
924	127227	127228	10167	11093
925	127347	127348	10178	11105
926	127496	127497	10190	11117
927	127631	127631	10201	11129
928	127762	127763	10211	11141
929	127895	127896	10222	11153
930	128044	128044	10233	11165
931	128209	128209	10246	11177
932	128323	128325	10255	11189
933	128457	128459	10266	11201
934	128591	128592	10277	11213
935	128711	128713	10288	11225
936	128835	128835	10300	11237
937	128980	128980	10310	11249
938	129141	129141	10321	11261
939	129274	129275	10332	11273
940	129409	129409	10343	11285
941	129543	129545	10355	11297
942	129676	129676	10365	11309
943	129836	129837	10376	11321
944	129969	129971	10387	11333
945	130091	130091	10398	11345
946	130240	130241	10410	11357
947	130372	130372	10420	11369
