N	num_bits	den_bits	v5_den	v239_den
453	62362	62363	4986	5441
454	62508	62509	4997	5453
455	62634	62636	5008	5465
456	62784	62785	5021	5477
457	62926	62926	5030	5489
458	63059	63059	5041	5501
459	63204	63204	5052	5513
460	63349	63349	5063	5525
461	63495	63497	5075	5537
462	63614	63615	5085	5549
463	63747	63748	5096	5561
464	63905	63905	5107	5573
465	64037	64038	5118	5585
466	64173	64173	5130	5597
467	64291	64291	5140	5609
468	64410	64412	5151	5621
469	64543	64544	5162	5633
470	64687	64690	5173	5645
471	64862	64862	5185	5657
472	65005	65005	5195	5669
473	65125	65125	5206	5681
474	65283	65283	5217	5693
475	65415	65416	5228	5705
476	65562	65564	5240	5717
477	65681	65682	5250	5729
478	65825	65827	5261	5741
479	65971	65972	5272	5753
480	66093	66093	5283	5765
481	66218	66218	5296	5777
