N	num_bits	den_bits	lambda_bits	cancellation_g	g_factorization	v2_num	v3_g	u_num_mod_17	u_num_mod_19	u_num_mod_29	u_num_mod_31	u_num_mod_43	u_num_mod_59	u_num_mod_101	u_num_mod_251	u_num_mod_1009	u_lcd_mod_17	u_lcd_mod_19	u_lcd_mod_29	u_lcd_mod_31	u_lcd_mod_43	u_lcd_mod_59	u_lcd_mod_101	u_lcd_mod_251	u_lcd_mod_1009	code1	code2	code3	code4
713	68549	86064	86066	3	3	717	1	16	7	22	3	42	26	7	170	481	14	2	8	9	40	19	21	8	434	9	90	902	9021
714	68640	86180	86181	3	3	718	1	6	16	21	29	15	9	8	250	38	1	10	5	25	2	27	24	248	114	0	2	21	219
715	68740	86305	86306	3	3	719	1	4	8	22	4	16	34	66	156	737	12	5	8	12	5	43	97	217	193	2	21	219	2196
716	68836	86425	86427	3	3	720	1	12	5	7	12	24	48	92	243	490	2	15	21	5	29	26	74	227	461	1	19	196	1960
717	68927	86541	86547	87	3*29	721	1	5	9	10	4	1	12	100	250	445	10	4	0	7	1	41	14	164	373	9	96	960	9608
718	69023	86661	86663	3	3	722	1	5	10	25	12	9	57	61	196	172	15	11	17	5	27	53	82	86	516	6	60	608	6086
719	69121	86784	86785	3	3	723	1	7	6	23	3	14	0	56	33	330	4	18	11	9	42	0	67	99	990	0	8	86	864
720	69219	86907	86908	3	3	724	1	9	12	19	11	5	35	73	144	656	10	17	28	2	15	46	17	181	959	8	86	864	8640
721	69315	87027	87028	3	3	725	1	6	12	16	26	41	5	34	12	795	1	17	19	16	37	15	1	36	367	6	64	640	6403
722	69409	87145	87147	3	3	726	1	6	16	27	2	42	4	87	91	158	1	10	23	6	40	12	59	22	474	4	40	403	4034
723	69507	87268	87269	3	3	727	1	8	10	10	14	40	41	58	134	951	7	11	1	11	34	5	73	151	835	0	3	34	344
724	69600	87386	87387	3	3	728	1	15	11	10	0	3	17	89	185	302	11	14	1	0	9	51	65	53	906	3	34	344	3441
725	69699	87508	87510	3	3	729	1	12	1	8	12	22	35	96	157	579	2	3	24	5	23	46	86	220	728	4	44	441	4418
726	69792	87626	87628	3	3	730	1	14	14	15	17	36	28	71	166	414	8	4	16	20	22	25	11	247	233	4	41	418	4181
727	69890	87749	87751	3	3	731	1	13	0	18	9	39	21	37	69	853	5	0	25	27	31	4	10	207	541	1	18	181	1815
728	69986	87869	87871	3	3	732	1	7	7	12	10	42	40	20	73	847	4	2	7	30	40	2	60	219	523	8	81	815	8159
729	70080	87988	87989	3	3	733	1	16	5	3	17	15	3	6	249	334	14	15	9	20	2	9	18	245	1002	1	15	159	1598
730	70178	88110	88112	3	3	734	1	1	6	15	29	39	14	23	200	212	3	18	16	25	31	42	69	98	636	5	59	598	5981
731	70273	88231	88232	3	3	735	1	5	1	9	12	37	23	93	79	407	15	3	27	5	25	10	77	237	212	9	98	981	9813
732	70369	88351	88353	3	3	736	1	4	18	9	14	7	5	1	175	809	12	16	27	11	21	15	3	23	409	8	81	813	8136
733	70465	88471	88473	3	3	737	1	11	14	25	27	3	17	96	71	259	16	4	17	19	9	51	86	213	777	1	13	136	1362
734	70556	88587	88589	3	3	738	1	4	12	4	24	23	32	90	224	830	12	17	12	10	26	37	68	170	472	3	36	362	3629
735	70654	88710	88711	3	3	739	1	1	14	26	1	14	9	86	245	792	3	4	20	3	42	27	56	233	358	6	62	629	6297
736	70745	88824	88826	3	3	740	1	1	10	10	4	10	34	85	247	736	3	11	1	12	30	43	53	239	190	2	29	297	2977
737	70848	88953	88954	3	3	741	1	13	2	9	27	35	6	98	213	413	5	6	27	19	19	18	92	137	230	9	97	977	9774
738	70944	89073	89075	3	3	742	1	0	7	19	11	6	42	26	48	515	0	2	28	2	18	8	78	144	536	7	77	774	7747
739	71033	89187	89188	3	3	743	1	6	8	5	25	13	6	53	45	184	1	5	15	13	39	18	58	135	552	7	74	747	7477
740	71136	89314	89315	3	3	744	1	13	6	21	15	35	43	53	153	404	5	18	5	14	19	11	58	208	203	4	47	477	4771
741	71232	89434	89436	3	3	745	1	7	12	21	23	23	16	99	103	779	4	17	5	7	26	48	95	58	319	7	77	771	7713
742	71328	89555	89556	3	3	746	1	14	18	28	1	42	18	61	177	283	8	16	26	3	40	54	82	29	849	7	71	713	7130
743	71421	89673	89674	3	3	747	1	3	9	24	12	19	27	68	196	852	9	8	14	5	14	22	2	86	538	1	13	130	1309
744	71517	89793	89795	3	3	748	1	2	7	23	13	8	49	29	159	95	6	2	11	8	24	29	87	226	285	3	30	309	3099
745	71615	89916	89917	3	3	749	1	11	14	4	19	40	7	89	132	709	16	4	12	26	34	21	65	145	109	0	9	99	996
746	71711	90036	90038	3	3	750	1	1	11	6	11	5	21	16	176	752	3	14	18	2	15	4	48	26	238	9	99	996	9960
