N	T	Lambda	g	delta_num	delta_den
10	300214584734499933115801415268662876455699808814716689543194143684739056657528579647571030316739465655152162109231936405780522744826382083131217164243185867107394121283667473961278103222228692135680763575145010390363336491608861113094018256280431401720443714036452463010451527431093531773500932450307232377783945751086675387599036786169065841246208	57311584599968322179674660913330503965013372961954775385134405180472373714282355855652471594842657746435162242227381789795550975420220951149136428508768131499295629735773822152868117631204656254532492021007074544136669777674351550827141646680336277239577035394788510251311203027973746040732526836123943395882789056264111200642857330169599671782750387822384630409649002235563854196968673615497635864812764339148998260498046875	3	100071528244833311038600471756220958818566602938238896514398047894913018885842859882523676772246488551717387369743978801926840914942127361043739054747728622369131373761222491320426034407409564045226921191715003463454445497202953704364672752093477133906814571345484154336817175810364510591166977483435744125927981917028891795866345595389688613748736	19103861533322774059891553637776834655004457653984925128378135060157457904760785285217490531614219248811720747409127263265183658473406983716378809502922710499765209911924607384289372543734885418177497340335691514712223259224783850275713882226778759079859011798262836750437067675991248680244175612041314465294263018754703733547619110056533223927583462607461543469883000745187951398989557871832545288270921446382999420166015625
11	879072526081734954503714328290492728313599523716959586705237603544598941993105315848234279633086497339782546187389526387893284042099532243937019487030984407328363291107113654317574577008398926539665886316738744280936000802549842140579339798910386054250466049211534183172159051218428450206697687243906539119029812752534534851960850320133233225711260628628246464469582306105786368	4490644653280083403798193677182337034351334560650444752019293182054790828596518073940656593584830013943283634564978040288974755968375523082179593159317007985019742614160698967580498705121467525073786753468870341971895367085154976924302553273940166104277309844575602719951819330821523149413664496159405258296849491863030918181241127407395223652494607963377707824766683261747031212382271966657502530420032395716992382843075863607662512322349357418715953826904296875	3	293024175360578318167904776096830909437866507905653195568412534514866313997701771949411426544362165779927515395796508795964428014033177414645673162343661469109454430369037884772524859002799642179888628772246248093645333600849947380193113266303462018083488683070511394390719683739476150068899229081302179706343270917511511617320283440044411075237086876209415488156527435368595456	1496881551093361134599397892394112344783778186883481584006431060684930276198839357980218864528276671314427878188326013429658251989458507694059864386439002661673247538053566322526832901707155841691262251156290113990631789028384992308100851091313388701425769948191867573317273110273841049804554832053135086098949830621010306060413709135798407884164869321125902608255561087249010404127423988885834176806677465238997460947691954535887504107449785806238651275634765625
12	98739644184145151859137179195054173026162497636412224389063012484370566471198174844469487189643453823134629434641035542793392301615707620207484303269332908609113209190870606428415672855877995633026512816410350799855636966978135059265301198094570032547034712600624087933415814580537587835089988937679498892524748058591025892378745637995534895573996401848543127878258064509884367137069242354702751809376157696	13393695589343591545088329153427455639072622809704820565639232254781509316489657292175520562103866476350279176746905086022880667349045483849098206492617948369517903684184497750363666125072809646949802709012159240940435619621660175223235752376911608131679466987894336794379029353458320696785962813150215568942456622372465153850232408529973482811982077450372290154930679518854859006452727907033827501209447828823608890545814165322427150472591139456115200153762771762000483022347907535731792449951171875	3	32913214728048383953045726398351391008720832545470741463021004161456855490399391614823162396547817941044876478213678514264464100538569206735828101089777636203037736396956868809471890951959331877675504272136783599951878988992711686421767066031523344182344904200208029311138604860179195945029996312559832964174916019530341964126248545998511631857998800616181042626086021503294789045689747451567583936458719232	4464565196447863848362776384475818546357540936568273521879744084927169772163219097391840187367955492116759725582301695340960222449681827949699402164205982789839301228061499250121222041690936548983267569670719746980145206540553391741078584125637202710559822329298112264793009784486106898928654271050071856314152207457488384616744136176657827603994025816790763384976893172951619668817575969011275833736482609607869630181938055107475716824197046485371733384587590587333494340782635845243930816650390625
13	10702229571824366743755988988029504094742247207376869923798677864255026897497547822959155081294994792536911075036213728898122424640311921198213520841943613308867199185162592967853827392787169388125242109805163761709302968599644013480779849825772899290405559411734662035535961296427475180618999787276055964640468988298770593986018659558917538690313339276449240413832529630160060455720515835546860149650052320763340125059624111346526322688	38298264981431327119352785919063173776616235286919810784502044363818120517849481663181003828346520454510735111478227844297300671415273147035676821344380451745893199203315524497005606083398035655628295367688093174473922077155682650615581951654640629192881071913641040965560833791441697844485239001469476213989743559904030775047318706352228643922808127806688261938711948661046427606458403534614721412226736320351427695345171706329370107775042456099026654427228439734825475554139567737879448975214617678641815246010082773864269256591796875	3	3567409857274788914585329662676501364914082402458956641266225954751675632499182607653051693764998264178970358345404576299374141546770640399404506947314537769622399728387530989284609130929056462708414036601721253903100989533214671160259949941924299763468519803911554011845320432142491726872999929092018654880156329432923531328672886519639179563437779758816413471277509876720020151906838611848953383216684106921113375019874703782175440896	12766088327143775706450928639687724592205411762306603594834014787939373505949827221060334609448840151503578370492742614765766890471757715678558940448126817248631066401105174832335202027799345218542765122562697724824640692385227550205193983884880209730960357304547013655186944597147232614828413000489825404663247853301343591682439568784076214640936042602229420646237316220348809202152801178204907137408912106783809231781723902109790035925014152033008884809076146578275158518046522579293149658404872559547271748670027591288089752197265625
14	44995987713677089910987106515372486067722127522888147250360322780078268688094621113798513298259380792330409208039721657197489375431501138360801333047171677114213452037588248791542000575106692709570898862506548422876392787777987890134110923381401646610574106497501112403721094694884180193360278848862363770869881015704138981368103680042288594545920877855735286827235987413102692324645017261372914246944471040113946960542456524997431852393924490933104263872813203456	4224282735718667097491728477786466303649665110317871912600565489826819042869274744580000277539969398785123273722439326535268639708012313105989957664587867041935604722614222405479095765356103409675407175013418676448520374909733040825241076066160979477987936190863490679258803351292979031450211320352662196892461815974595208948532506576884470198769554573354817135560668333932657733448774227588586728935931616741462239444980149325174823358995104634605961158511545843076510891059335832173733775115338669244988795644649419801104538933593512961550686668488197028636932373046875	3	14998662571225696636995702171790828689240709174296049083453440926692756229364873704599504432753126930776803069346573885732496458477167046120267111015723892371404484012529416263847333525035564236523632954168849474292130929259329296711370307793800548870191368832500370801240364898294726731120092949620787923623293671901379660456034560014096198181973625951911762275745329137700897441548339087124304748981490346704648986847485508332477284131308163644368087957604401152	1408094245239555699163909492595488767883221703439290637533521829942273014289758248193333425846656466261707757907479775511756213236004104368663319221529289013978534907538074135159698588452034469891802391671139558816173458303244346941747025355386993159329312063621163559752934450430993010483403773450887398964153938658198402982844168858961490066256518191118272378520222777977552577816258075862862242978643872247154079814993383108391607786331701544868653719503848614358836963686445277391244591705112889748329598548216473267034846311197837653850228889496065676212310791015625
15	115115956175118243064504529729960132033130213019160062018207275227653388329079257915411995420147630740215025849160761217613094239541061370750967346496924351150640105041936062917225493550576066067819794851332657304642926460162199153294993487799862439555129595461128616817323438231334579807796285384582373371052407387964151836324739074340853233954476963574655006622736427327052702112223677376436689074329767170409966581877926637559197125355662280859670048884148134050758886997743828381495454072832	282158187420049976057764983071060940030202406740350691267809717548765872383043911071621651303853298239270963473780139711454495771784587272085404153967563502634341804033854915526024814083850928488377731479202838925012087640999768197864300221446264054991887171732591831616658572022193988488250053108099101936040863122145371831316118779581146310835639360904157220142020551578870119028732640786034487484881035131908452067457627143884069329394441987602073421600143138968085735865343656609631891444869056394245190064507446675964334546033624977870288122430829546039995510127267042133070162890362553298473358154296875	3	38371985391706081021501509909986710677710071006386687339402425075884462776359752638470665140049210246738341949720253739204364746513687123583655782165641450383546701680645354305741831183525355355939931617110885768214308820054066384431664495933287479851709865153709538939107812743778193269265428461527457790350802462654717278774913024780284411318158987858218335540912142442350900704074559125478896358109922390136655527292642212519732375118554093619890016294716044683586295665914609460498484690944	94052729140016658685921661023686980010067468913450230422603239182921957461014637023873883767951099413090321157926713237151498590594862424028468051322521167544780601344618305175341604694616976162792577159734279641670695880333256065954766740482088018330629057244197277205552857340731329496083351036033033978680287707381790610438706259860382103611879786968052406714006850526290039676244213595344829161627011710636150689152542381294689776464813995867357807200047712989361911955114552203210630481623018798081730021502482225321444848677874992623429374143609848679998503375755680711023387630120851099491119384765625
16	11506686653152204748084058439985801721967235344742005387088011324210861501704126903631555189416535536606239727619596773666245905895153807415824943290857423423032536170591243507070377162091079001898421794080502491595688911618336689898941420140939137317506273591378895054555738004618377381750020615560139675245001422073365706899202462362418452213982840814008199616719301940897370875238941028405522544628309007151669556837841974855205484393497867261204227457917237815596351650442451669222375012407048854327853132412255164432384	733251151173804683268059081968020859400069213355567933297019658755176696411017565424809977904055459054004710241210378496261480369066480819859424717965329766179643934929868018124530652621629497392813427029572727029048488207862055467360405476583723628266489505344726168628622865018881296893762387892521102061857453818146914160270001228546908116317158683231637359023784660479331458565785013805570227095339155969355930099329437263610702390102072707074465024156650016953393496844985608751727256151364419045864012705915284264709141007817300239031098139192360496660603515422122395227575826887711067179557498474200272209344575458089821040630340576171875	3	3835562217717401582694686146661933907322411781580668462362670441403620500568042301210518396472178512202079909206532257888748635298384602471941647763619141141010845390197081169023459054030359667299473931360167497198562970539445563299647140046979712439168757863792965018185246001539459127250006871853379891748333807357788568966400820787472817404660946938002733205573100646965790291746313676135174181542769669050556518945947324951735161464499289087068075819305745938532117216814150556407458337469016284775951044137418388144128	244417050391268227756019693989340286466689737785189311099006552918392232137005855141603325968018486351334903413736792832087160123022160273286474905988443255393214644976622672708176884207209832464271142343190909009682829402620685155786801825527907876088829835114908722876207621672960432297920795964173700687285817939382304720090000409515636038772386227743879119674594886826443819521928337935190075698446385323118643366443145754536900796700690902358155008052216672317797832281661869583909085383788139681954670901971761421569713669272433413010366046397453498886867838474040798409191942295903689059852499491400090736448191819363273680210113525390625
17	1126487851205340607762978515336598145558246605891070469932979362774458253080362138945621657530568479263454904934499743341729350411837502033974426239901130513634776866871971168422404699131427954805945502907353282617477881186431356163686940262104386840175192695405920734567219175816580858106184648728311872914713642570468192865574121228360266657954216844427480575860787795733275179111652131592479984774555646881337198376308208140319358938932333758132196735295610097324303880780254798483475497622427721103539376528217430630523799743951232922583024088907776	1859339301219457423760088320815593052401968476834837200557384217003362342222758494807476997484595485486123725139534760867695845166946900744272602875077765425958072430292736645885797972972954541002732943929604109272659069569197828204881493152648533266876658320914426738472478616028785844781363635038783305029776832366966754051109767646785122513527259109256087268493495710396489018421969413620557080267862802503540677744953783762808563786998224636929189140265113306901220871939644340861206993019670680197083410306366455992294974268439026078538537238680709489320603110278170823871132376547088904651021399494943697232723381072309848801420376486308316810180940592545084655284881591796875	3	375495950401780202587659505112199381852748868630356823310993120924819417693454046315207219176856159754484968311499914447243116803945834011324808746633710171211592288957323722807468233043809318268648500969117760872492627062143785387895646754034795613391730898468640244855739725272193619368728216242770624304904547523489397621858040409453422219318072281475826858620262598577758393037217377197493328258185215627112399458769402713439786312977444586044065578431870032441434626926751599494491832540809240367846458842739143543507933247983744307527674696302592	619779767073152474586696106938531017467322825611612400185794739001120780740919498269158999161531828495374575046511586955898615055648966914757534291692588475319357476764245548628599324324318180334244314643201369757553023189732609401627164384216177755625552773638142246157492872009595281593787878346261101676592277455655584683703255882261707504509086369752029089497831903465496339473989804540185693422620934167846892581651261254269521262332741545643063046755037768967073623979881446953735664339890226732361136768788818664098324756146342026179512412893569829773534370092723607957044125515696301550340466498314565744241127024103282933806792162102772270060313530848361551761627197265625
18	21650741104012203499081519141335585201495739285503459930572922973688913110751854050319333808274676903227923814709226364475474792320438700640836268063906798403620188431331906823171379788036140178364495626273310241397724857676599047279389737212237510820020748613694311920239608575138066597994522432691309829116568413581555062879496493981408268259178538728162353366625539064260004496472648531096946934383621783072126277937850803710660339850881521921674325871350078039146348920918075935294237989871506418192702499073084305789060745827037388220134350185756065601837962549026255565488128	922570305644791667512254673024169416908302959865081863035300405247211784453299472953469145447480605550109806465508502538692315928590082784294710536291283751858411557998799229545064749161792759672746541610912119348412083535862213018547689673047557444818526932361228021786200694104353886879187546186990638277441928794065297634255860152447343011430938892636995473869826644504841129453455318134081992148056977566150021931511368289524652764307916064192574877576316403031876411004620468906867858699359005903750638663979846440976770986764877930378923661370871579453174132227705034393820873521533141740072594870969799088913368992254005978634923344219585990574384518047243311985529021744534272642113137408159673213958740234375	3	7216913701337401166360506380445195067165246428501153310190974324562971036917284683439777936091558967742641271569742121491824930773479566880278756021302266134540062810443968941057126596012046726121498542091103413799241619225533015759796579070745836940006916204564770640079869525046022199331507477563769943038856137860518354293165497993802756086392846242720784455541846354753334832157549510365648978127873927690708759312616934570220113283627173973891441957116692679715449640306025311764745996623835472730900833024361435263020248609012462740044783395252021867279320849675418521829376	307523435214930555837418224341389805636100986621693954345100135082403928151099824317823048482493535183369935488502834179564105309530027594764903512097094583952803852666266409848354916387264253224248847203637373116137361178620737672849229891015852481606175644120409340595400231368117962293062515395663546092480642931355099211418620050815781003810312964212331824623275548168280376484485106044693997382685659188716673977170456096508217588102638688064191625858772134343958803668206822968955952899786335301250212887993282146992256995588292643459641220456957193151058044075901678131273624507177713913357531623656599696304456330751335326211641114739861996858128172682414437328509673914844757547371045802719891071319580078125
19	8561678265406223060057304152383152787996372124779658865076659728517752358914557056141916425362706677215536996370480212933937304204126874489462060365885013646853975614968693566622791524557963210959460065476742115946067397579788817947398621646838319904933560926157919722518325838628182947589200115837090870876443554267658282146895636732121496976207282913722275545999656666843447747280523327120073067411684520993964517979918729478422125193805182957117570924584420528463572504242811628047834422275182636057427377120576462377697454659655518708263744399301466573651347835107303934383090808997033534744599227006976	9390678357676349272968983307345283949078417148789648585867460842198932561814139329462356546104736545608149411462796206295529352221103250942542935253002848901726962321327246419884849499007032797876787626379931719954164281631948611789465885698395387038574642263012547590377005490090538531078209216526748292627134201028220455968368392428344405089932597415355774001463271306198217476589116414228970333574855413026339902525165477318906667243923442686634038381348735736829845958669297958895244141667608561071333280489909810741615809918807758503058250107977208594830442426065672498148822529224892518953984055323264642766295151068922418008692764615819094408151486763592140462310361598794684113006615386168195056538197419693236867033192538656294345855712890625	3	2853892755135407686685768050794384262665457374926552955025553242839250786304852352047305475120902225738512332123493404311312434734708958163154020121961671215617991871656231188874263841519321070319820021825580705315355799193262939315799540548946106634977853642052639907506108612876060982529733371945696956958814518089219427382298545577373832325402427637907425181999885555614482582426841109040024355803894840331321505993306243159474041731268394319039190308194806842821190834747603876015944807425060878685809125706858820792565818219885172902754581466433822191217115945035767978127696936332344511581533075668992	3130226119225449757656327769115094649692805716263216195289153614066310853938046443154118848701578848536049803820932068765176450740367750314180978417667616300575654107109082139961616499669010932625595875459977239984721427210649537263155295232798462346191547421004182530125668496696846177026069738842249430875711400342740151989456130809448135029977532471785258000487757102066072492196372138076323444524951804342113300841721825772968889081307814228878012793782911912276615319556432652965081380555869520357111093496636603580538603306269252834352750035992402864943480808688557499382940843074964172984661351774421547588765050356307472669564254871939698136050495587864046820770120532931561371002205128722731685512732473231078955677730846218764781951904296875
20	952543987353526107913489628149505465342225583210211696460493347757542319963811168879644337664033448761102025438598542745554950130627172181922897258114006723311111074644096586621209281358673450450092865940282703498662201065829634115588499478403113419812105020624784540087675441051606640657024019887136877629781588313937834170392555414094717368073793202136964710919814256374247240263185585620154076782235856328090390356590300146111761770721173697419428600874670165813598739321569486724823933051334760068904118350793114760419354819362530263235639080681624645815351288195693969327699931959975436809003807463008050125377041614822722142667276288	26821325108903620189947247687955241565048927558043477837378608879134062474308692729967159077988888751058532894188493155084436843969788207458747161787815174775821887107342602356987164700405180988449434375248650413332950513164041303418585512445457202391113237910347717166413644117801802606017860805901870864024610142251220269014354343880934659003733216660991666574102892187918149147973327115099181271890399328196982600013120785363363757887665895420491857432590699647231167051439757550609884935417247182599401660876863052522518065869080206428494841663379113974074371256879469449095489159446346827534050336662793054076927789328313587176565025934343745060612068691746583380306902019232049688233009207515641910342766677922175495274175507286210422043198453416479321020915449480526149272918701171875	3	317514662451175369304496542716501821780741861070070565486831115919180773321270389626548112554677816253700675146199514248518316710209057393974299086038002241103703691548032195540403093786224483483364288646760901166220733688609878038529499826134371139937368340208261513362558480350535546885674673295712292543260529437979278056797518471364905789357931067378988236973271418791415746754395195206718025594078618776030130118863433382037253923573724565806476200291556721937866246440523162241607977683778253356301372783597704920139784939787510087745213026893874881938450429398564656442566643986658478936334602487669350041792347204940907380889092096	8940441702967873396649082562651747188349642519347825945792869626378020824769564243322386359329629583686177631396164385028145614656596069152915720595938391591940629035780867452329054900135060329483144791749550137777650171054680434472861837481819067463704412636782572388804548039267267535339286935300623621341536714083740089671451447960311553001244405553663888858034297395972716382657775705033060423963466442732327533337706928454454585962555298473497285810863566549077055683813252516869961645139082394199800553625621017507506021956360068809498280554459704658024790418959823149698496386482115609178016778887597684692309263109437862392188341978114581686870689563915527793435634006410683229411003069171880636780922225974058498424725169095403474014399484472159773673638483160175383090972900390625
