stream,N,L,forbidden_word,word_count_N,frequency_denominator,contained_sample_size,contaminated_starts,t15_integer_bound,bound_holds,forbidden_starts,contamination_fraction
pi,3000,8,00,21,3000,2993,129,189,true,2864,129/2993
pi,3000,8,01,31,3000,2993,211,279,true,2782,211/2993
pi,3000,8,11,30,3000,2993,198,270,true,2795,198/2993
pi,3000,8,000,3,3000,2993,18,27,true,2975,18/2993
pi,3000,8,001,4,3000,2993,24,36,true,2969,24/2993
pi,3000,8,012,3,3000,2993,18,27,true,2975,18/2993
pi,3000,8,123,3,3000,2993,18,27,true,2975,18/2993
pi,3000,8,0000,0,3000,2993,0,0,true,2993,0/2993
pi,3000,8,0123,0,3000,2993,0,0,true,2993,0/2993
pi,3000,16,0,259,3000,2985,2253,4403,true,732,2253/2985
pi,3000,16,1,309,3000,2985,2436,5253,true,549,2436/2985
pi,3000,16,00,21,3000,2985,266,357,true,2719,266/2985
pi,3000,16,01,31,3000,2985,429,527,true,2556,429/2985
pi,3000,16,11,30,3000,2985,410,510,true,2575,410/2985
pi,3000,16,000,3,3000,2985,42,51,true,2943,42/2985
pi,3000,16,001,4,3000,2985,56,68,true,2929,56/2985
pi,3000,16,012,3,3000,2985,42,51,true,2943,42/2985
pi,3000,16,123,3,3000,2985,42,51,true,2943,42/2985
pi,3000,16,0000,0,3000,2985,0,0,true,2985,0/2985
pi,3000,16,0123,0,3000,2985,0,0,true,2985,0/2985
pi,3000,32,0,259,3000,2969,2759,8547,true,210,2759/2969
pi,3000,32,1,309,3000,2969,2908,10197,true,61,2908/2969
pi,3000,32,00,21,3000,2969,510,693,true,2459,510/2969
pi,3000,32,01,31,3000,2969,790,1023,true,2179,790/2969
pi,3000,32,11,30,3000,2969,800,990,true,2169,800/2969
pi,3000,32,000,3,3000,2969,90,99,true,2879,90/2969
pi,3000,32,001,4,3000,2969,120,132,true,2849,120/2969
pi,3000,32,012,3,3000,2969,90,99,true,2879,90/2969
pi,3000,32,123,3,3000,2969,83,99,true,2886,83/2969
pi,3000,32,0000,0,3000,2969,0,0,true,2969,0/2969
pi,3000,32,0123,0,3000,2969,0,0,true,2969,0/2969
pi,10000,1,0,968,10000,10000,968,1936,true,9032,968/10000
pi,10000,1,1,1026,10000,10000,1026,2052,true,8974,1026/10000
pi,10000,1,00,85,10000,10000,0,170,true,10000,0/10000
pi,10000,1,01,103,10000,10000,0,206,true,10000,0/10000
pi,10000,1,11,99,10000,10000,0,198,true,10000,0/10000
pi,10000,1,000,7,10000,10000,0,14,true,10000,0/10000
pi,10000,1,001,8,10000,10000,0,16,true,10000,0/10000
pi,10000,1,012,12,10000,10000,0,24,true,10000,0/10000
pi,10000,1,123,11,10000,10000,0,22,true,10000,0/10000
pi,10000,1,0000,0,10000,10000,0,0,true,10000,0/10000
