stream,N,L,forbidden_word,word_count_N,frequency_denominator,contained_sample_size,contaminated_starts,t15_integer_bound,bound_holds,forbidden_starts,contamination_fraction
champernowne,1000,4,123,4,1000,997,7,20,true,990,7/997
champernowne,1000,4,0000,0,1000,997,0,0,true,997,0/997
champernowne,1000,4,0123,0,1000,997,0,0,true,997,0/997
champernowne,1000,8,0,66,1000,993,357,594,true,636,357/993
champernowne,1000,8,1,177,1000,993,581,1593,true,412,581/993
champernowne,1000,8,00,3,1000,993,21,27,true,972,21/993
champernowne,1000,8,01,14,1000,993,93,126,true,900,93/993
champernowne,1000,8,11,25,1000,993,119,225,true,874,119/993
champernowne,1000,8,000,0,1000,993,0,0,true,993,0/993
champernowne,1000,8,001,1,1000,993,6,9,true,987,6/993
champernowne,1000,8,012,2,1000,993,12,18,true,981,12/993
champernowne,1000,8,123,4,1000,993,19,36,true,974,19/993
champernowne,1000,8,0000,0,1000,993,0,0,true,993,0/993
champernowne,1000,8,0123,0,1000,993,0,0,true,993,0/993
champernowne,1000,16,0,66,1000,985,616,1122,true,369,616/985
champernowne,1000,16,1,177,1000,985,758,3009,true,227,758/985
champernowne,1000,16,00,3,1000,985,45,51,true,940,45/985
champernowne,1000,16,01,14,1000,985,193,238,true,792,193/985
champernowne,1000,16,11,25,1000,985,213,425,true,772,213/985
champernowne,1000,16,000,0,1000,985,0,0,true,985,0/985
champernowne,1000,16,001,1,1000,985,14,17,true,971,14/985
champernowne,1000,16,012,2,1000,985,28,34,true,957,28/985
champernowne,1000,16,123,4,1000,985,43,68,true,942,43/985
champernowne,1000,16,0000,0,1000,985,0,0,true,985,0/985
champernowne,1000,16,0123,0,1000,985,0,0,true,985,0/985
champernowne,1000,32,0,66,1000,969,969,2178,true,0,969/969
champernowne,1000,32,1,177,1000,969,969,5841,true,0,969/969
champernowne,1000,32,00,3,1000,969,93,99,true,876,93/969
champernowne,1000,32,01,14,1000,969,374,462,true,595,374/969
champernowne,1000,32,11,25,1000,969,376,825,true,593,376/969
champernowne,1000,32,000,0,1000,969,0,0,true,969,0/969
champernowne,1000,32,001,1,1000,969,30,33,true,939,30/969
champernowne,1000,32,012,2,1000,969,60,66,true,909,60/969
champernowne,1000,32,123,4,1000,969,91,132,true,878,91/969
champernowne,1000,32,0000,0,1000,969,0,0,true,969,0/969
champernowne,1000,32,0123,0,1000,969,0,0,true,969,0/969
champernowne,3000,1,0,230,3000,3000,230,460,true,2770,230/3000
champernowne,3000,1,1,341,3000,3000,341,682,true,2659,341/3000
champernowne,3000,1,00,20,3000,3000,0,40,true,3000,0/3000
champernowne,3000,1,01,34,3000,3000,0,68,true,3000,0/3000
champernowne,3000,1,11,35,3000,3000,0,70,true,3000,0/3000
champernowne,3000,1,000,1,3000,3000,0,2,true,3000,0/3000
champernowne,3000,1,001,3,3000,3000,0,6,true,3000,0/3000
champernowne,3000,1,012,3,3000,3000,0,6,true,3000,0/3000
champernowne,3000,1,123,4,3000,3000,0,8,true,3000,0/3000
champernowne,3000,1,0000,0,3000,3000,0,0,true,3000,0/3000
champernowne,3000,1,0123,0,3000,3000,0,0,true,3000,0/3000
champernowne,3000,2,0,230,3000,2999,440,690,true,2559,440/2999
champernowne,3000,2,1,341,3000,2999,646,1023,true,2353,646/2999
champernowne,3000,2,00,20,3000,2999,20,60,true,2979,20/2999
champernowne,3000,2,01,34,3000,2999,34,102,true,2965,34/2999
champernowne,3000,2,11,35,3000,2999,35,105,true,2964,35/2999
champernowne,3000,2,000,1,3000,2999,0,3,true,2999,0/2999
champernowne,3000,2,001,3,3000,2999,0,9,true,2999,0/2999
champernowne,3000,2,012,3,3000,2999,0,9,true,2999,0/2999
champernowne,3000,2,123,4,3000,2999,0,12,true,2999,0/2999
champernowne,3000,2,0000,0,3000,2999,0,0,true,2999,0/2999
champernowne,3000,2,0123,0,3000,2999,0,0,true,2999,0/2999
champernowne,3000,4,0,230,3000,2997,749,1150,true,2248,749/2997
champernowne,3000,4,1,341,3000,2997,1003,1705,true,1994,1003/2997
champernowne,3000,4,00,20,3000,2997,58,100,true,2939,58/2997
champernowne,3000,4,01,34,3000,2997,99,170,true,2898,99/2997
champernowne,3000,4,11,35,3000,2997,95,175,true,2902,95/2997
champernowne,3000,4,000,1,3000,2997,2,5,true,2995,2/2997
champernowne,3000,4,001,3,3000,2997,6,15,true,2991,6/2997
champernowne,3000,4,012,3,3000,2997,6,15,true,2991,6/2997
champernowne,3000,4,123,4,3000,2997,7,20,true,2990,7/2997
champernowne,3000,4,0000,0,3000,2997,0,0,true,2997,0/2997
champernowne,3000,4,0123,0,3000,2997,0,0,true,2997,0/2997
champernowne,3000,8,0,230,3000,2993,1109,2070,true,1884,1109/2993
champernowne,3000,8,1,341,3000,2993,1352,3069,true,1641,1352/2993
champernowne,3000,8,00,20,3000,2993,106,180,true,2887,106/2993
champernowne,3000,8,01,34,3000,2993,194,306,true,2799,194/2993
champernowne,3000,8,11,35,3000,2993,183,315,true,2810,183/2993
champernowne,3000,8,000,1,3000,2993,6,9,true,2987,6/2993
champernowne,3000,8,001,3,3000,2993,15,27,true,2978,15/2993
champernowne,3000,8,012,3,3000,2993,18,27,true,2975,18/2993
champernowne,3000,8,123,4,3000,2993,19,36,true,2974,19/2993
champernowne,3000,8,0000,0,3000,2993,0,0,true,2993,0/2993
champernowne,3000,8,0123,0,3000,2993,0,0,true,2993,0/2993
champernowne,3000,16,0,230,3000,2985,1824,3910,true,1161,1824/2985
champernowne,3000,16,1,341,3000,2985,1985,5797,true,1000,1985/2985
champernowne,3000,16,00,20,3000,2985,186,340,true,2799,186/2985
champernowne,3000,16,01,34,3000,2985,358,578,true,2627,358/2985
champernowne,3000,16,11,35,3000,2985,349,595,true,2636,349/2985
champernowne,3000,16,000,1,3000,2985,14,17,true,2971,14/2985
champernowne,3000,16,001,3,3000,2985,31,51,true,2954,31/2985
champernowne,3000,16,012,3,3000,2985,42,51,true,2943,42/2985
champernowne,3000,16,123,4,3000,2985,43,68,true,2942,43/2985
champernowne,3000,16,0000,0,3000,2985,0,0,true,2985,0/2985
champernowne,3000,16,0123,0,3000,2985,0,0,true,2985,0/2985
champernowne,3000,32,0,230,3000,2969,2969,7590,true,0,2969/2969
champernowne,3000,32,1,341,3000,2969,2969,11253,true,0,2969/2969
champernowne,3000,32,00,20,3000,2969,346,660,true,2623,346/2969
champernowne,3000,32,01,34,3000,2969,663,1122,true,2306,663/2969
champernowne,3000,32,11,35,3000,2969,648,1155,true,2321,648/2969
champernowne,3000,32,000,1,3000,2969,30,33,true,2939,30/2969
champernowne,3000,32,001,3,3000,2969,63,99,true,2906,63/2969
champernowne,3000,32,012,3,3000,2969,90,99,true,2879,90/2969
champernowne,3000,32,123,4,3000,2969,91,132,true,2878,91/2969
champernowne,3000,32,0000,0,3000,2969,0,0,true,2969,0/2969
champernowne,3000,32,0123,0,3000,2969,0,0,true,2969,0/2969
champernowne,10000,1,0,747,10000,10000,747,1494,true,9253,747/10000
champernowne,10000,1,1,1858,10000,10000,1858,3716,true,8142,1858/10000
champernowne,10000,1,00,47,10000,10000,0,94,true,10000,0/10000
champernowne,10000,1,01,158,10000,10000,0,316,true,10000,0/10000
champernowne,10000,1,11,269,10000,10000,0,538,true,10000,0/10000
champernowne,10000,1,000,2,10000,10000,0,4,true,10000,0/10000
champernowne,10000,1,001,13,10000,10000,0,26,true,10000,0/10000
champernowne,10000,1,012,22,10000,10000,0,44,true,10000,0/10000
champernowne,10000,1,123,26,10000,10000,0,52,true,10000,0/10000
champernowne,10000,1,0000,0,10000,10000,0,0,true,10000,0/10000
champernowne,10000,1,0123,2,10000,10000,0,4,true,10000,0/10000
champernowne,10000,2,0,747,10000,9999,1447,2241,true,8552,1447/9999
champernowne,10000,2,1,1858,10000,9999,3446,5574,true,6553,3446/9999
champernowne,10000,2,00,47,10000,9999,47,141,true,9952,47/9999
champernowne,10000,2,01,158,10000,9999,158,474,true,9841,158/9999
champernowne,10000,2,11,269,10000,9999,269,807,true,9730,269/9999
champernowne,10000,2,000,2,10000,9999,0,6,true,9999,0/9999
champernowne,10000,2,001,13,10000,9999,0,39,true,9999,0/9999
champernowne,10000,2,012,22,10000,9999,0,66,true,9999,0/9999
champernowne,10000,2,123,26,10000,9999,0,78,true,9999,0/9999
champernowne,10000,2,0000,0,10000,9999,0,0,true,9999,0/9999
champernowne,10000,2,0123,2,10000,9999,0,6,true,9999,0/9999
champernowne,10000,4,0,747,10000,9997,2647,3735,true,7350,2647/9997
champernowne,10000,4,1,1858,10000,9997,5816,9290,true,4181,5816/9997
champernowne,10000,4,00,47,10000,9997,137,235,true,9860,137/9997
champernowne,10000,4,01,158,10000,9997,471,790,true,9526,471/9997
champernowne,10000,4,11,269,10000,9997,735,1345,true,9262,735/9997
champernowne,10000,4,000,2,10000,9997,4,10,true,9993,4/9997
champernowne,10000,4,001,13,10000,9997,26,65,true,9971,26/9997
champernowne,10000,4,012,22,10000,9997,44,110,true,9953,44/9997
champernowne,10000,4,123,26,10000,9997,51,130,true,9946,51/9997
champernowne,10000,4,0000,0,10000,9997,0,0,true,9997,0/9997
champernowne,10000,4,0123,2,10000,9997,2,10,true,9995,2/9997
champernowne,10000,8,0,747,10000,9993,3593,6723,true,6400,3593/9993
champernowne,10000,8,1,1858,10000,9993,6445,16722,true,3548,6445/9993
champernowne,10000,8,00,47,10000,9993,261,423,true,9732,261/9993
champernowne,10000,8,01,158,10000,9993,999,1422,true,8994,999/9993
champernowne,10000,8,11,269,10000,9993,1295,2421,true,8698,1295/9993
champernowne,10000,8,000,2,10000,9993,12,18,true,9981,12/9993
champernowne,10000,8,001,13,10000,9993,75,117,true,9918,75/9993
champernowne,10000,8,012,22,10000,9993,132,198,true,9861,132/9993
champernowne,10000,8,123,26,10000,9993,133,234,true,9860,133/9993
champernowne,10000,8,0000,0,10000,9993,0,0,true,9993,0/9993
champernowne,10000,8,0123,2,10000,9993,10,18,true,9983,10/9993
champernowne,10000,16,0,747,10000,9985,5444,12699,true,4541,5444/9985
champernowne,10000,16,1,1858,10000,9985,7578,31586,true,2407,7578/9985
champernowne,10000,16,00,47,10000,9985,477,799,true,9508,477/9985
champernowne,10000,16,01,158,10000,9985,2011,2686,true,7974,2011/9985
champernowne,10000,16,11,269,10000,9985,2225,4573,true,7760,2225/9985
champernowne,10000,16,000,2,10000,9985,28,34,true,9957,28/9985
champernowne,10000,16,001,13,10000,9985,171,221,true,9814,171/9985
champernowne,10000,16,012,22,10000,9985,308,374,true,9677,308/9985
champernowne,10000,16,123,26,10000,9985,261,442,true,9724,261/9985
champernowne,10000,16,0000,0,10000,9985,0,0,true,9985,0/9985
champernowne,10000,16,0123,2,10000,9985,26,34,true,9959,26/9985
champernowne,10000,32,0,747,10000,9969,8857,24651,true,1112,8857/9969
champernowne,10000,32,1,1858,10000,9969,9530,61314,true,439,9530/9969
champernowne,10000,32,00,47,10000,9969,909,1551,true,9060,909/9969
champernowne,10000,32,01,158,10000,9969,4016,5214,true,5953,4016/9969
champernowne,10000,32,11,269,10000,9969,4052,8877,true,5917,4052/9969
champernowne,10000,32,000,2,10000,9969,60,66,true,9909,60/9969
champernowne,10000,32,001,13,10000,9969,363,429,true,9606,363/9969
champernowne,10000,32,012,22,10000,9969,660,726,true,9309,660/9969
champernowne,10000,32,123,26,10000,9969,517,858,true,9452,517/9969
champernowne,10000,32,0000,0,10000,9969,0,0,true,9969,0/9969
champernowne,10000,32,0123,2,10000,9969,58,66,true,9911,58/9969
t4_balanced,1000,1,0,412,1000,1000,412,824,true,588,412/1000
t4_balanced,1000,1,1,138,1000,1000,138,276,true,862,138/1000
t4_balanced,1000,1,00,360,1000,1000,0,720,true,1000,0/1000
t4_balanced,1000,1,01,17,1000,1000,0,34,true,1000,0/1000
t4_balanced,1000,1,11,33,1000,1000,0,66,true,1000,0/1000
t4_balanced,1000,1,000,353,1000,1000,0,706,true,1000,0/1000
t4_balanced,1000,1,001,7,1000,1000,0,14,true,1000,0/1000
t4_balanced,1000,1,012,7,1000,1000,0,14,true,1000,0/1000
t4_balanced,1000,1,123,7,1000,1000,0,14,true,1000,0/1000
t4_balanced,1000,1,0000,348,1000,1000,0,696,true,1000,0/1000
t4_balanced,1000,1,0123,6,1000,1000,0,12,true,1000,0/1000
t4_balanced,1000,2,0,412,1000,999,464,1236,true,535,464/999
t4_balanced,1000,2,1,138,1000,999,242,414,true,757,242/999
t4_balanced,1000,2,00,360,1000,999,360,1080,true,639,360/999
t4_balanced,1000,2,01,17,1000,999,17,51,true,982,17/999
t4_balanced,1000,2,11,33,1000,999,33,99,true,966,33/999
t4_balanced,1000,2,000,353,1000,999,0,1059,true,999,0/999
t4_balanced,1000,2,001,7,1000,999,0,21,true,999,0/999
t4_balanced,1000,2,012,7,1000,999,0,21,true,999,0/999
t4_balanced,1000,2,123,7,1000,999,0,21,true,999,0/999
t4_balanced,1000,2,0000,348,1000,999,0,1044,true,999,0/999
t4_balanced,1000,2,0123,6,1000,999,0,18,true,999,0/999
t4_balanced,1000,4,0,412,1000,997,546,2060,true,451,546/997
t4_balanced,1000,4,1,138,1000,997,324,690,true,673,324/997
t4_balanced,1000,4,00,360,1000,997,374,1800,true,623,374/997
t4_balanced,1000,4,01,17,1000,997,48,85,true,949,48/997
t4_balanced,1000,4,11,33,1000,997,79,165,true,918,79/997
t4_balanced,1000,4,000,353,1000,997,358,1765,true,639,358/997
t4_balanced,1000,4,001,7,1000,997,14,35,true,983,14/997
t4_balanced,1000,4,012,7,1000,997,14,35,true,983,14/997
t4_balanced,1000,4,123,7,1000,997,14,35,true,983,14/997
t4_balanced,1000,4,0000,348,1000,997,348,1740,true,649,348/997
t4_balanced,1000,4,0123,6,1000,997,6,30,true,991,6/997
t4_balanced,1000,8,0,412,1000,993,666,3708,true,327,666/993
t4_balanced,1000,8,1,138,1000,993,429,1242,true,564,429/993
t4_balanced,1000,8,00,360,1000,993,401,3240,true,592,401/993
t4_balanced,1000,8,01,17,1000,993,103,153,true,890,103/993
t4_balanced,1000,8,11,33,1000,993,115,297,true,878,115/993
t4_balanced,1000,8,000,353,1000,993,378,3177,true,615,378/993
t4_balanced,1000,8,001,7,1000,993,42,63,true,951,42/993
t4_balanced,1000,8,012,7,1000,993,38,63,true,955,38/993
t4_balanced,1000,8,123,7,1000,993,39,63,true,954,39/993
t4_balanced,1000,8,0000,348,1000,993,364,3132,true,629,364/993
t4_balanced,1000,8,0123,6,1000,993,27,54,true,966,27/993
t4_balanced,1000,16,0,412,1000,985,875,7004,true,110,875/985
t4_balanced,1000,16,1,138,1000,985,601,2346,true,384,601/985
t4_balanced,1000,16,00,360,1000,985,445,6120,true,540,445/985
t4_balanced,1000,16,01,17,1000,985,191,289,true,794,191/985
t4_balanced,1000,16,11,33,1000,985,180,561,true,805,180/985
t4_balanced,1000,16,000,353,1000,985,408,6001,true,577,408/985
t4_balanced,1000,16,001,7,1000,985,91,119,true,894,91/985
t4_balanced,1000,16,012,7,1000,985,78,119,true,907,78/985
t4_balanced,1000,16,123,7,1000,985,77,119,true,908,77/985
t4_balanced,1000,16,0000,348,1000,985,396,5916,true,589,396/985
t4_balanced,1000,16,0123,6,1000,985,60,102,true,925,60/985
t4_balanced,1000,32,0,412,1000,969,969,13596,true,0,969/969
t4_balanced,1000,32,1,138,1000,969,698,4554,true,271,698/969
t4_balanced,1000,32,00,360,1000,969,523,11880,true,446,523/969
t4_balanced,1000,32,01,17,1000,969,304,561,true,665,304/969
t4_balanced,1000,32,11,33,1000,969,282,1089,true,687,282/969
t4_balanced,1000,32,000,353,1000,969,456,11649,true,513,456/969
t4_balanced,1000,32,001,7,1000,969,175,231,true,794,175/969
t4_balanced,1000,32,012,7,1000,969,135,231,true,834,135/969
t4_balanced,1000,32,123,7,1000,969,129,231,true,840,129/969
t4_balanced,1000,32,0000,348,1000,969,449,11484,true,520,449/969
t4_balanced,1000,32,0123,6,1000,969,113,198,true,856,113/969
t4_balanced,3000,1,0,1224,3000,3000,1224,2448,true,1776,1224/3000
t4_balanced,3000,1,1,396,3000,3000,396,792,true,2604,396/3000
t4_balanced,3000,1,00,1092,3000,3000,0,2184,true,3000,0/3000
t4_balanced,3000,1,01,40,3000,3000,0,80,true,3000,0/3000
t4_balanced,3000,1,11,65,3000,3000,0,130,true,3000,0/3000
t4_balanced,3000,1,000,1080,3000,3000,0,2160,true,3000,0/3000
t4_balanced,3000,1,001,9,3000,3000,0,18,true,3000,0/3000
t4_balanced,3000,1,012,11,3000,3000,0,22,true,3000,0/3000
t4_balanced,3000,1,123,11,3000,3000,0,22,true,3000,0/3000
t4_balanced,3000,1,0000,1074,3000,3000,0,2148,true,3000,0/3000
t4_balanced,3000,1,0123,7,3000,3000,0,14,true,3000,0/3000
t4_balanced,3000,2,0,1224,3000,2999,1356,3672,true,1643,1356/2999
t4_balanced,3000,2,1,396,3000,2999,726,1188,true,2273,726/2999
t4_balanced,3000,2,00,1092,3000,2999,1092,3276,true,1907,1092/2999
t4_balanced,3000,2,01,40,3000,2999,40,120,true,2959,40/2999
t4_balanced,3000,2,11,65,3000,2999,65,195,true,2934,65/2999
t4_balanced,3000,2,000,1080,3000,2999,0,3240,true,2999,0/2999
t4_balanced,3000,2,001,9,3000,2999,0,27,true,2999,0/2999
t4_balanced,3000,2,012,11,3000,2999,0,33,true,2999,0/2999
t4_balanced,3000,2,123,11,3000,2999,0,33,true,2999,0/2999
t4_balanced,3000,2,0000,1074,3000,2999,0,3222,true,2999,0/2999
t4_balanced,3000,2,0123,7,3000,2999,0,21,true,2999,0/2999
t4_balanced,3000,4,0,1224,3000,2997,1559,6120,true,1438,1559/2997
t4_balanced,3000,4,1,396,3000,2997,1031,1980,true,1966,1031/2997
t4_balanced,3000,4,00,1092,3000,2997,1116,5460,true,1881,1116/2997
t4_balanced,3000,4,01,40,3000,2997,116,200,true,2881,116/2997
t4_balanced,3000,4,11,65,3000,2997,167,325,true,2830,167/2997
t4_balanced,3000,4,000,1080,3000,2997,1086,5400,true,1911,1086/2997
t4_balanced,3000,4,001,9,3000,2997,18,45,true,2979,18/2997
t4_balanced,3000,4,012,11,3000,2997,22,55,true,2975,22/2997
t4_balanced,3000,4,123,11,3000,2997,22,55,true,2975,22/2997
t4_balanced,3000,4,0000,1074,3000,2997,1074,5370,true,1923,1074/2997
t4_balanced,3000,4,0123,7,3000,2997,7,35,true,2990,7/2997
t4_balanced,3000,8,0,1224,3000,2993,1847,11016,true,1146,1847/2993
t4_balanced,3000,8,1,396,3000,2993,1255,3564,true,1738,1255/2993
t4_balanced,3000,8,00,1092,3000,2993,1163,9828,true,1830,1163/2993
t4_balanced,3000,8,01,40,3000,2993,259,360,true,2734,259/2993
t4_balanced,3000,8,11,65,3000,2993,283,585,true,2710,283/2993
t4_balanced,3000,8,000,1080,3000,2993,1110,9720,true,1883,1110/2993
t4_balanced,3000,8,001,9,3000,2993,54,81,true,2939,54/2993
t4_balanced,3000,8,012,11,3000,2993,62,99,true,2931,62/2993
t4_balanced,3000,8,123,11,3000,2993,63,99,true,2930,63/2993
t4_balanced,3000,8,0000,1074,3000,2993,1094,9666,true,1899,1094/2993
t4_balanced,3000,8,0123,7,3000,2993,32,63,true,2961,32/2993
t4_balanced,3000,16,0,1224,3000,2985,2387,20808,true,598,2387/2985
t4_balanced,3000,16,1,396,3000,2985,1628,6732,true,1357,1628/2985
t4_balanced,3000,16,00,1092,3000,2985,1247,18564,true,1738,1247/2985
t4_balanced,3000,16,01,40,3000,2985,519,680,true,2466,519/2985
t4_balanced,3000,16,11,65,3000,2985,501,1105,true,2484,501/2985
t4_balanced,3000,16,000,1080,3000,2985,1148,18360,true,1837,1148/2985
t4_balanced,3000,16,001,9,3000,2985,119,153,true,2866,119/2985
t4_balanced,3000,16,012,11,3000,2985,134,187,true,2851,134/2985
t4_balanced,3000,16,123,11,3000,2985,135,187,true,2850,135/2985
t4_balanced,3000,16,0000,1074,3000,2985,1134,18258,true,1851,1134/2985
t4_balanced,3000,16,0123,7,3000,2985,73,119,true,2912,73/2985
t4_balanced,3000,32,0,1224,3000,2969,2969,40392,true,0,2969/2969
t4_balanced,3000,32,1,396,3000,2969,1976,13068,true,993,1976/2969
t4_balanced,3000,32,00,1092,3000,2969,1397,36036,true,1572,1397/2969
t4_balanced,3000,32,01,40,3000,2969,950,1320,true,2019,950/2969
t4_balanced,3000,32,11,65,3000,2969,901,2145,true,2068,901/2969
t4_balanced,3000,32,000,1080,3000,2969,1212,35640,true,1757,1212/2969
t4_balanced,3000,32,001,9,3000,2969,235,297,true,2734,235/2969
t4_balanced,3000,32,012,11,3000,2969,266,363,true,2703,266/2969
t4_balanced,3000,32,123,11,3000,2969,267,363,true,2702,267/2969
t4_balanced,3000,32,0000,1074,3000,2969,1203,35442,true,1766,1203/2969
t4_balanced,3000,32,0123,7,3000,2969,142,231,true,2827,142/2969
t4_balanced,10000,1,0,3822,10000,10000,3822,7644,true,6178,3822/10000
t4_balanced,10000,1,1,1002,10000,10000,1002,2004,true,8998,1002/10000
t4_balanced,10000,1,00,3303,10000,10000,0,6606,true,10000,0/10000
t4_balanced,10000,1,01,91,10000,10000,0,182,true,10000,0/10000
t4_balanced,10000,1,11,165,10000,10000,0,330,true,10000,0/10000
t4_balanced,10000,1,000,3266,10000,10000,0,6532,true,10000,0/10000
t4_balanced,10000,1,001,14,10000,10000,0,28,true,10000,0/10000
t4_balanced,10000,1,012,15,10000,10000,0,30,true,10000,0/10000
t4_balanced,10000,1,123,17,10000,10000,0,34,true,10000,0/10000
t4_balanced,10000,1,0000,3258,10000,10000,0,6516,true,10000,0/10000
t4_balanced,10000,1,0123,8,10000,10000,0,16,true,10000,0/10000
t4_balanced,10000,2,0,3822,10000,9999,4341,11466,true,5658,4341/9999
t4_balanced,10000,2,1,1002,10000,9999,1838,3006,true,8161,1838/9999
t4_balanced,10000,2,00,3303,10000,9999,3303,9909,true,6696,3303/9999
t4_balanced,10000,2,01,91,10000,9999,91,273,true,9908,91/9999
t4_balanced,10000,2,11,165,10000,9999,165,495,true,9834,165/9999
t4_balanced,10000,2,000,3266,10000,9999,0,9798,true,9999,0/9999
t4_balanced,10000,2,001,14,10000,9999,0,42,true,9999,0/9999
t4_balanced,10000,2,012,15,10000,9999,0,45,true,9999,0/9999
t4_balanced,10000,2,123,17,10000,9999,0,51,true,9999,0/9999
t4_balanced,10000,2,0000,3258,10000,9999,0,9774,true,9999,0/9999
t4_balanced,10000,2,0123,8,10000,9999,0,24,true,9999,0/9999
t4_balanced,10000,4,0,3822,10000,9997,5139,19110,true,4858,5139/9997
t4_balanced,10000,4,1,1002,10000,9997,2796,5010,true,7201,2796/9997
t4_balanced,10000,4,00,3303,10000,9997,3377,16515,true,6620,3377/9997
t4_balanced,10000,4,01,91,10000,9997,266,455,true,9731,266/9997
t4_balanced,10000,4,11,165,10000,9997,424,825,true,9573,424/9997
t4_balanced,10000,4,000,3266,10000,9997,3274,16330,true,6723,3274/9997
t4_balanced,10000,4,001,14,10000,9997,28,70,true,9969,28/9997
t4_balanced,10000,4,012,15,10000,9997,30,75,true,9967,30/9997
t4_balanced,10000,4,123,17,10000,9997,34,85,true,9963,34/9997
t4_balanced,10000,4,0000,3258,10000,9997,3258,16290,true,6739,3258/9997
t4_balanced,10000,4,0123,8,10000,9997,8,40,true,9989,8/9997
t4_balanced,10000,8,0,3822,10000,9993,5973,34398,true,4020,5973/9993
t4_balanced,10000,8,1,1002,10000,9993,3552,9018,true,6441,3552/9993
t4_balanced,10000,8,00,3303,10000,9993,3496,29727,true,6497,3496/9993
t4_balanced,10000,8,01,91,10000,9993,568,819,true,9425,568/9993
t4_balanced,10000,8,11,165,10000,9993,700,1485,true,9293,700/9993
t4_balanced,10000,8,000,3266,10000,9993,3306,29394,true,6687,3306/9993
t4_balanced,10000,8,001,14,10000,9993,81,126,true,9912,81/9993
t4_balanced,10000,8,012,15,10000,9993,86,135,true,9907,86/9993
t4_balanced,10000,8,123,17,10000,9993,99,153,true,9894,99/9993
t4_balanced,10000,8,0000,3258,10000,9993,3282,29322,true,6711,3282/9993
t4_balanced,10000,8,0123,8,10000,9993,37,72,true,9956,37/9993
t4_balanced,10000,16,0,3822,10000,9985,7596,64974,true,2389,7596/9985
t4_balanced,10000,16,1,1002,10000,9985,4894,17034,true,5091,4894/9985
t4_balanced,10000,16,00,3303,10000,9985,3708,56151,true,6277,3708/9985
t4_balanced,10000,16,01,91,10000,9985,1120,1547,true,8865,1120/9985
t4_balanced,10000,16,11,165,10000,9985,1183,2805,true,8802,1183/9985
t4_balanced,10000,16,000,3266,10000,9985,3360,55522,true,6625,3360/9985
t4_balanced,10000,16,001,14,10000,9985,178,238,true,9807,178/9985
t4_balanced,10000,16,012,15,10000,9985,190,255,true,9795,190/9985
t4_balanced,10000,16,123,17,10000,9985,219,289,true,9766,219/9985
t4_balanced,10000,16,0000,3258,10000,9985,3330,55386,true,6655,3330/9985
t4_balanced,10000,16,0123,8,10000,9985,86,136,true,9899,86/9985
t4_balanced,10000,32,0,3822,10000,9969,9953,126126,true,16,9953/9969
t4_balanced,10000,32,1,1002,10000,9969,6808,33066,true,3161,6808/9969
t4_balanced,10000,32,00,3303,10000,9969,4122,108999,true,5847,4122/9969
t4_balanced,10000,32,01,91,10000,9969,2123,3003,true,7846,2123/9969
t4_balanced,10000,32,11,165,10000,9969,2098,5445,true,7871,2098/9969
t4_balanced,10000,32,000,3266,10000,9969,3456,107778,true,6513,3456/9969
t4_balanced,10000,32,001,14,10000,9969,358,462,true,9611,358/9969
t4_balanced,10000,32,012,15,10000,9969,386,495,true,9583,386/9969
t4_balanced,10000,32,123,17,10000,9969,447,561,true,9522,447/9969
t4_balanced,10000,32,0000,3258,10000,9969,3415,107514,true,6554,3415/9969
t4_balanced,10000,32,0123,8,10000,9969,171,264,true,9798,171/9969
t2_sparse_island,1000,1,0,995,1000,1000,995,1990,true,5,995/1000
t2_sparse_island,1000,1,1,1,1000,1000,1,2,true,999,1/1000
t2_sparse_island,1000,1,00,990,1000,1000,0,1980,true,1000,0/1000
t2_sparse_island,1000,1,01,1,1000,1000,0,2,true,1000,0/1000
t2_sparse_island,1000,1,11,0,1000,1000,0,0,true,1000,0/1000
t2_sparse_island,1000,1,000,986,1000,1000,0,1972,true,1000,0/1000
t2_sparse_island,1000,1,001,0,1000,1000,0,0,true,1000,0/1000
t2_sparse_island,1000,1,012,0,1000,1000,0,0,true,1000,0/1000
t2_sparse_island,1000,1,123,0,1000,1000,0,0,true,1000,0/1000
t2_sparse_island,1000,1,0000,982,1000,1000,0,1964,true,1000,0/1000
t2_sparse_island,1000,1,0123,0,1000,1000,0,0,true,1000,0/1000
t2_sparse_island,1000,2,0,995,1000,999,999,2985,true,0,999/999
t2_sparse_island,1000,2,1,1,1000,999,2,3,true,997,2/999
t2_sparse_island,1000,2,00,990,1000,999,989,2970,true,10,989/999
t2_sparse_island,1000,2,01,1,1000,999,1,3,true,998,1/999
t2_sparse_island,1000,2,11,0,1000,999,0,0,true,999,0/999
t2_sparse_island,1000,2,000,986,1000,999,0,2958,true,999,0/999
t2_sparse_island,1000,2,001,0,1000,999,0,0,true,999,0/999
t2_sparse_island,1000,2,012,0,1000,999,0,0,true,999,0/999
t2_sparse_island,1000,2,123,0,1000,999,0,0,true,999,0/999
t2_sparse_island,1000,2,0000,982,1000,999,0,2946,true,999,0/999
t2_sparse_island,1000,2,0123,0,1000,999,0,0,true,999,0/999
t2_sparse_island,1000,4,0,995,1000,997,997,4975,true,0,997/997
t2_sparse_island,1000,4,1,1,1000,997,2,5,true,995,2/997
t2_sparse_island,1000,4,00,990,1000,997,997,4950,true,0,997/997
t2_sparse_island,1000,4,01,1,1000,997,1,5,true,996,1/997
