stream,N,L,sample_size,support_size,max_count,sum_squared_counts,collision_pairs,count_spectrum,exact_entropy_expression,entropy_nats,entropy_nats_per_digit,normalized_entropy_H_over_L_log10
pi,3000,16,2985,2985,1,2985,0,1:2985,ln(2985)-(2985*ln(1))/2985,8.001355025826702461406125862017,0.500084689114168903837882866376,0.217184020966586743261331924559
pi,3000,32,2969,2969,1,2969,0,1:2969,ln(2969)-(2969*ln(1))/2969,7.995980474763759802488748395275,0.249874389836367493827773387352,0.108519068674876394960113157808
pi,10000,1,10000,10,1046,10009318,4999659,948:1;968:1;970:1;974:1;1012:1;1014:1;1021:2;1026:1;1046:1,ln(10000)-(948*ln(948)+968*ln(968)+970*ln(970)+974*ln(974)+1012*ln(1012)+1014*ln(1014)+2042*ln(1021)+1026*ln(1026)+1046*ln(1046))/10000,2.302117732589560860217803098240,2.302117732589560860217803098240,0.999797027955272169235798062069
pi,10000,2,9999,100,124,1007647,498824,80:1;82:1;83:2;85:1;86:2;88:1;89:3;90:3;91:4;92:2;93:3;94:1;95:4;96:5;97:4;98:7;99:6;100:6;101:7;102:4;103:6;104:1;105:1;106:3;107:3;108:2;109:1;110:3;111:1;112:1;113:1;114:2;115:3;116:2;118:1;121:1;124:1,ln(9999)-(80*ln(80)+82*ln(82)+166*ln(83)+85*ln(85)+172*ln(86)+88*ln(88)+267*ln(89)+270*ln(90)+364*ln(91)+184*ln(92)+279*ln(93)+94*ln(94)+380*ln(95)+480*ln(96)+388*ln(97)+686*ln(98)+594*ln(99)+600*ln(100)+707*ln(101)+408*ln(102)+618*ln(103)+104*ln(104)+105*ln(105)+318*ln(106)+321*ln(107)+216*ln(108)+109*ln(109)+330*ln(110)+111*ln(111)+112*ln(112)+113*ln(113)+228*ln(114)+345*ln(115)+232*ln(116)+118*ln(118)+121*ln(121)+124*ln(124))/9999,4.601260440567060548224356348657,2.300630220283530274112178174328,0.999151009568999904463854202261
pi,10000,4,9997,6366,6,19809,4906,1:3749;2:1823;3:612;4:147;5:32;6:3,ln(9997)-(3749*ln(1)+3646*ln(2)+1836*ln(3)+588*ln(4)+160*ln(5)+18*ln(6))/9997,8.644953840712277567106569542020,2.161238460178069391776642385505,0.938613937332416403229375358287
pi,10000,8,9993,9993,1,9993,0,1:9993,ln(9993)-(9993*ln(1))/9993,9.209640126861789344105012546627,1.151205015857723668013126568328,0.499961985926354904815812856800
pi,10000,16,9985,9985,1,9985,0,1:9985,ln(9985)-(9985*ln(1))/9985,9.208839245849915590421084262633,0.575552452865619724401317766415,0.249959254325420085912194583048
pi,10000,32,9969,9969,1,9969,0,1:9969,ln(9969)-(9969*ln(1))/9969,9.207235557022703971125245914543,0.287726111156959499097663934829,0.124957862374949170964115469916
iid,1000,1,1000,10,117,100966,49983,80:1;91:1;94:1;97:1;101:1;102:1;103:1;104:1;111:1;117:1,ln(1000)-(80*ln(80)+91*ln(91)+94*ln(94)+97*ln(97)+101*ln(101)+102*ln(102)+103*ln(103)+104*ln(104)+111*ln(111)+117*ln(117))/1000,2.297687917495660018076223044321,2.297687917495660018076223044321,0.997873183704139298152735131099
iid,1000,2,999,100,18,11195,5098,3:2;4:2;5:8;6:10;7:7;8:4;9:9;10:11;11:13;12:8;13:11;14:2;15:8;16:3;17:1;18:1,ln(999)-(6*ln(3)+8*ln(4)+40*ln(5)+60*ln(6)+49*ln(7)+32*ln(8)+81*ln(9)+110*ln(10)+143*ln(11)+96*ln(12)+143*ln(13)+28*ln(14)+120*ln(15)+48*ln(16)+17*ln(17)+18*ln(18))/999,4.541299905845788401205630290994,2.270649952922894200602815145497,0.986130744888291489802263516660
iid,1000,4,997,943,3,1113,58,1:893;2:46;3:4,ln(997)-(893*ln(1)+92*ln(2)+12*ln(3))/997,6.827566328562106851039992985218,1.706891582140526712759998246304,0.741293595330741858955497310569
iid,1000,8,993,993,1,993,0,1:993,ln(993)-(993*ln(1))/993,6.900730664045172592179862076499,0.862591333005646574022482759562,0.374618656061922646987896063824
iid,1000,16,985,985,1,985,0,1:985,ln(985)-(985*ln(1))/985,6.892641641172088881380556662389,0.430790102573255555086284791399,0.187089764406100733259875338937
iid,1000,32,969,969,1,969,0,1:969,ln(969)-(969*ln(1))/969,6.876264611890766231653807286684,0.214883269121586444739181477709,0.093322618032836416480360352292
iid,3000,1,3000,10,345,903576,450288,280:2;281:1;290:1;300:2;301:1;308:1;315:1;345:1,ln(3000)-(560*ln(280)+281*ln(281)+290*ln(290)+600*ln(300)+301*ln(301)+308*ln(308)+315*ln(315)+345*ln(345))/3000,2.300637927561313492253085758164,2.300637927561313492253085758164,0.999154356797211651629613352979
iid,3000,2,2999,100,42,92795,44898,19:1;20:1;21:3;22:2;23:5;24:3;25:2;26:13;27:8;28:9;29:4;30:4;31:6;32:6;33:7;34:3;35:4;36:5;37:4;38:3;39:3;40:2;42:2,ln(2999)-(19*ln(19)+20*ln(20)+63*ln(21)+44*ln(22)+115*ln(23)+72*ln(24)+50*ln(25)+338*ln(26)+216*ln(27)+252*ln(28)+116*ln(29)+120*ln(30)+186*ln(31)+192*ln(32)+231*ln(33)+102*ln(34)+140*ln(35)+180*ln(36)+148*ln(37)+114*ln(38)+117*ln(39)+80*ln(40)+84*ln(42))/2999,4.589316185329741804651394440229,2.294658092664870902325697220114,0.996557347498994131491538551578
iid,3000,4,2997,2588,4,3913,458,1:2226;2:317;3:43;4:2,ln(2997)-(2226*ln(1)+634*ln(2)+129*ln(3)+8*ln(4))/2997,7.807747229945241587889954992258,1.951936807486310396972488748065,0.847715384515154577279590618926
iid,3000,8,2993,2993,1,2993,0,1:2993,ln(2993)-(2993*ln(1))/2993,8.004031507852698932958872230476,1.000503938481587366619859028809,0.434513339605023924447974843805
iid,3000,16,2985,2985,1,2985,0,1:2985,ln(2985)-(2985*ln(1))/2985,8.001355025826702461406125862017,0.500084689114168903837882866376,0.217184020966586743261331924559
iid,3000,32,2969,2969,1,2969,0,1:2969,ln(2969)-(2969*ln(1))/2969,7.995980474763759802488748395275,0.249874389836367493827773387352,0.108519068674876394960113157808
iid,10000,1,10000,10,1062,10007386,4998693,955:1;980:1;985:1;990:1;992:1;994:1;1008:1;1012:1;1022:1;1062:1,ln(10000)-(955*ln(955)+980*ln(980)+985*ln(985)+990*ln(990)+992*ln(992)+994*ln(994)+1008*ln(1008)+1012*ln(1012)+1022*ln(1022)+1062*ln(1062))/10000,2.302218084897632429903156894613,2.302218084897632429903156894613,0.999840610408913907108828776822
